FROM,TO,TRIPS
Hernando,Land O Lakes & Connerton,3468.74411
Hillsborough & Manatee Spur,Land O Lakes & Connerton,30803.16817
Pasco East,Land O Lakes & Connerton,25231.84955
Hillsborough & Manatee Spur,I-75 & SR 52,95.89292
Pinellas,I-75 & SR 52,107.98806
I-75 & SR 52,I-75 & SR 52,1828.00796
Land O Lakes & Connerton,I-75 & SR 52,2155.77687
Pasco East,Pasco Central,3208.95909
Pasco West,Land O Lakes & Connerton,2306.85509
E New Port Richey,Land O Lakes & Connerton,0
Wesley Chapel & I-75 - SR56,Land O Lakes & Connerton,959.57402
Pasco Central,I-75 & SR 52,454.68229
Zephyrhills,Pasco Central,7.5603
Pasco East,I-75 & SR 52,249.06722
Wesley Chapel & I-75 - SR56,I-75 & SR 52,500.46984
Zephyrhills,I-75 & SR 52,0
Hernando,I-75 & SR 52,41.18637
I-75 & SR 52,Land O Lakes & Connerton,466.58357
Suncoast & SR 54,Land O Lakes & Connerton,4949.29182
San Antonio,Pasco Central,0
Hillsborough & Manatee Spur,Pasco East,44544.1913
Pinellas,Pasco East,3493.20359
Pasco Central,Pasco East,15322.37717
Land O Lakes & Connerton,Pasco East,19960.21475
Pasco East,Pasco East,105691.2669
Wesley Chapel & I-75 - SR56,Pasco East,31528.0728
External,Pasco East,745.668
Hernando,Pasco East,4120.37822
Dade City,Pasco East,5664.28794
San Antonio,Pasco East,148.42003
Zephyrhills,Pasco East,29907.13901
Hernando,Seven Springs & Odessa,176.42229
Suncoast & SR 54,Seven Springs & Odessa,2373.25989
Wesley Chapel & I-75 - SR56,Seven Springs & Odessa,25.41229
Pasco East,Seven Springs & Odessa,0.85073
Hillsborough & Manatee Spur,Suncoast & SR 54,7139.53228
Pinellas,Suncoast & SR 54,1684.00058
New Port Richey,Suncoast & SR 54,159.6615
Pasco West,Suncoast & SR 54,127.03524
Seven Springs & Odessa,Suncoast & SR 54,2248.49701
Land O Lakes & Connerton,Suncoast & SR 54,3224.49244
Suncoast & SR 54,Suncoast & SR 54,8212.58861
Wesley Chapel & I-75 - SR56,Suncoast & SR 54,400.46612
Pasco Central,Suncoast & SR 54,1844.09183
Pasco East,Suncoast & SR 54,11250.21107
Hernando,Suncoast & SR 54,353.75572
E New Port Richey,Suncoast & SR 54,51.51793
Dade City,Suncoast & SR 54,0
Pinellas,Land O Lakes & Connerton,98.30714
Hillsborough & Manatee Spur,San Antonio,303.04427
Pinellas,San Antonio,60.80805
Wesley Chapel & I-75 - SR56,San Antonio,0
Pasco East,San Antonio,302.1716
Zephyrhills,San Antonio,216.44642
Dade City,San Antonio,162.79071
Pasco Central,San Antonio,0
San Antonio,San Antonio,52.2176
Hernando,San Antonio,162.80117
San Antonio,I-75 & SR 52,106.7447
I-75 & SR 52,Pasco East,416.3415
Hillsborough & Manatee Spur,Wesley Chapel & I-75 - SR56,21608.49532
Pasco Central,Wesley Chapel & I-75 - SR56,9054.8827
I-75 & SR 52,Wesley Chapel & I-75 - SR56,1055.67098
Pasco East,Wesley Chapel & I-75 - SR56,31901.3349
Wesley Chapel & I-75 - SR56,Wesley Chapel & I-75 - SR56,66639.14798
Hernando,Wesley Chapel & I-75 - SR56,71.43895
External,Wesley Chapel & I-75 - SR56,494.45702
Seven Springs & Odessa,Wesley Chapel & I-75 - SR56,266.7804
Suncoast & SR 54,Wesley Chapel & I-75 - SR56,155.49498
Land O Lakes & Connerton,Wesley Chapel & I-75 - SR56,575.69118
Zephyrhills,Wesley Chapel & I-75 - SR56,4861.74826
New Port Richey,Pasco East,3278.1015
Seven Springs & Odessa,Pasco East,0.85073
New Port Richey,Wesley Chapel & I-75 - SR56,6.09454
San Antonio,Wesley Chapel & I-75 - SR56,0
Pinellas,Wesley Chapel & I-75 - SR56,1593.22917
Lacoochie Ind Area,Wesley Chapel & I-75 - SR56,0
Suncoast & SR 54,Pasco East,3887.9267
Citrus,Pasco East,0
N W Pasco,Pasco East,0
New Port Richey,Land O Lakes & Connerton,164.77902
Dade City,Land O Lakes & Connerton,42.90684
External,Land O Lakes & Connerton,0
San Antonio,Land O Lakes & Connerton,0
Zephyrhills,Land O Lakes & Connerton,0
Pasco West,Pasco East,196.85813
Hillsborough & Manatee Spur,Zephyrhills,9811.20965
Pinellas,Zephyrhills,139.19655
Dade City,Zephyrhills,10257.01027
Zephyrhills,Zephyrhills,33375.30193
Pasco West,Wesley Chapel & I-75 - SR56,0
Dade City,Wesley Chapel & I-75 - SR56,121.94492
Citrus,Wesley Chapel & I-75 - SR56,2883.63426
E New Port Richey,Wesley Chapel & I-75 - SR56,0
Hernando,Lacoochie Ind Area,0
Pasco Central,Dade City,346.67378
Land O Lakes & Connerton,Dade City,65.38079
Pasco East,Dade City,6401.05531
Wesley Chapel & I-75 - SR56,Dade City,1571.44284
Dade City,Dade City,19834.42178
Zephyrhills,Dade City,5946.94552
Hernando,Dade City,39.52764
External,Dade City,0
New Port Richey,Dade City,0
Hillsborough & Manatee Spur,Dade City,207.31711
San Antonio,Dade City,377.35422
E New Port Richey,Dade City,2967.74775
Pasco East,Zephyrhills,30033.432
Wesley Chapel & I-75 - SR56,Zephyrhills,391.93331
San Antonio,Zephyrhills,18.29127
External,Zephyrhills,359.54662
Pasco West,Zephyrhills,2744.6131
Pasco Central,Zephyrhills,0
N W Pasco,Zephyrhills,0
Citrus,Zephyrhills,53.2122
Pinellas,Hernando,1691.28811
Pasco East,Hernando,3241.15128
Hernando,Hernando,393085.801910001
Pasco West,Hernando,8188.37448
E New Port Richey,Hernando,204.5057
Pasco Central,Hernando,19354.60974
Hillsborough & Manatee Spur,Hernando,8724.84415
New Port Richey,Hernando,3778.56752
N W Pasco,Hernando,3303.57505
External,Hernando,2759.28184
Citrus,Hernando,6244.29717
San Antonio,Hernando,149.69904
Hudson,Hernando,532.64663
Seven Springs & Odessa,Hernando,135.79653
Zephyrhills,Hernando,53.2122
Land O Lakes & Connerton,Hernando,2354.43956
I-75 & SR 52,Hernando,58.21103
Suncoast & SR 54,Hernando,489.01284
Wesley Chapel & I-75 - SR56,Hernando,165.93648
Citrus,Citrus,482334.083610001
External,Citrus,10511.93275
Wesley Chapel & I-75 - SR56,Citrus,2454.06016
Hernando,Citrus,5971.05753
Pinellas,Citrus,513.07672
Hillsborough & Manatee Spur,Citrus,3587.96588
Hudson,Citrus,1.1909
New Port Richey,Citrus,0
Pasco East,Citrus,0
Pasco West,Citrus,0
