FROM,TO,RESIDENT TRIPS,VISITOR TRIPS
Hernando_Citrus,Tampa_Central,7929.07888781844,9378.23948305414
Northwest_Hillsborough,Citrus_Park,40406.6695274563,1089.20754909515
Northeast_Hillsborough,Citrus_Park,624.948134064674,24.5675973892212
Tampa_Central,Citrus_Park,7000.48177502072,229.323860168457
Citrus_Park,Citrus_Park,13504.1540603638,573.317142486572
Tampa_Intl_Airport_Anderson_Rd,Citrus_Park,2710.11872447538,73.7014274597168
USF_Hospitals_Busch_Gardens,Citrus_Park,674.451744974824,106.46430683136
Harney_Corridor_Tampa_Ex_Airpor,Citrus_Park,251.644740581512,8.18821430206299
Hidden_River_Telecom_Park,Citrus_Park,0,0
East_Town,Citrus_Park,160.348762989044,8.19086647033691
Plant_City_Area,Citrus_Park,8.18890762329102,0
Westshore_Rocky_Point,Citrus_Park,1037.42285823822,81.9159202575684
Southwest_Hillsborough,Citrus_Park,870.493387699127,8.18800449371338
MacDill_AFB_Port_Tampa,Citrus_Park,8.1868200302124,0
Downtown,Citrus_Park,662.834576348774,24.5725994110107
Port_of_Tampa_50th_St_Corridor,Citrus_Park,66.9242978096008,8.19073295593262
West_Brandon_S_Falkenburg_Corrido,Citrus_Park,175.294111132622,0
Southeast_Hillsborough,Citrus_Park,173.964334666729,0
CZ1,Citrus_Park,147.249771118164,8.19086647033691
CZ2,Citrus_Park,91.1929636001587,0
CZ3,Citrus_Park,9.60142135620117,0
CZ4,Citrus_Park,75.4326362609863,0
External,Citrus_Park,1450.42684030533,24.5644941329956
Pinellas,Citrus_Park,6506.23141045647,270.330485343933
Pasco,Citrus_Park,1147.08455270645,16.3771543502808
Hernando_Citrus,Citrus_Park,54.9835145748221,57.3855683295988
Northwest_Hillsborough,Tampa_Intl_Airport_Anderson_Rd,148431.109802446,5052.95427036285
Northeast_Hillsborough,Tampa_Intl_Airport_Anderson_Rd,11056.9296857296,745.270542144775
Tampa_Central,Tampa_Intl_Airport_Anderson_Rd,87883.4620550361,3243.26520347595
Citrus_Park,Tampa_Intl_Airport_Anderson_Rd,2448.55899381638,87.9271341562271
Tampa_Intl_Airport_Anderson_Rd,Tampa_Intl_Airport_Anderson_Rd,124303.708272513,15823.1007452011
USF_Hospitals_Busch_Gardens,Tampa_Intl_Airport_Anderson_Rd,3403.95167648792,434.030680656433
Harney_Corridor_Tampa_Ex_Airpor,Tampa_Intl_Airport_Anderson_Rd,2674.53328633308,212.953451156616
Hidden_River_Telecom_Park,Tampa_Intl_Airport_Anderson_Rd,530.71964263916,65.5190362930298
East_Town,Tampa_Intl_Airport_Anderson_Rd,4305.58645205386,516.019535064697
Plant_City_Area,Tampa_Intl_Airport_Anderson_Rd,433.988200902939,32.7592239379883
Westshore_Rocky_Point,Tampa_Intl_Airport_Anderson_Rd,19648.5204412937,5642.76497173309
Southwest_Hillsborough,Tampa_Intl_Airport_Anderson_Rd,14055.0977836404,923.603507876396
MacDill_AFB_Port_Tampa,Tampa_Intl_Airport_Anderson_Rd,698.89804983139,98.2787504196167
Downtown,Tampa_Intl_Airport_Anderson_Rd,6729.59335823637,2170.42666721344
Port_of_Tampa_50th_St_Corridor,Tampa_Intl_Airport_Anderson_Rd,779.027858257294,98.2798271179199
West_Brandon_S_Falkenburg_Corrido,Tampa_Intl_Airport_Anderson_Rd,3709.51312832255,483.184749603272
Southeast_Hillsborough,Tampa_Intl_Airport_Anderson_Rd,8886.60654861434,442.291607856751
CZ1,Tampa_Intl_Airport_Anderson_Rd,2641.58500510454,172.00444316864
CZ2,Tampa_Intl_Airport_Anderson_Rd,1612.9682135582,155.598203659058
CZ3,Tampa_Intl_Airport_Anderson_Rd,481.631720066071,114.670502662659
CZ4,Tampa_Intl_Airport_Anderson_Rd,3124.55440717936,237.518575668335
External,Tampa_Intl_Airport_Anderson_Rd,7653.44807847799,1073.01952266693
Pinellas,Tampa_Intl_Airport_Anderson_Rd,48655.5044704238,9478.07964831591
Pasco,Tampa_Intl_Airport_Anderson_Rd,9173.54423833761,732.838077366352
Hernando_Citrus,Tampa_Intl_Airport_Anderson_Rd,1022.05800079467,3281.29885982862
Northwest_Hillsborough,USF_Hospitals_Busch_Gardens,29936.9122550157,1089.35502910614
Northeast_Hillsborough,USF_Hospitals_Busch_Gardens,20581.1115488022,1089.24562644958
Tampa_Central,USF_Hospitals_Busch_Gardens,195617.212444416,8318.86547660828
Citrus_Park,USF_Hospitals_Busch_Gardens,460.816600322723,81.8946647644043
Tampa_Intl_Airport_Anderson_Rd,USF_Hospitals_Busch_Gardens,3741.5486072154,327.577802658081
USF_Hospitals_Busch_Gardens,USF_Hospitals_Busch_Gardens,248448.074076419,37266.4745405316
Harney_Corridor_Tampa_Ex_Airpor,USF_Hospitals_Busch_Gardens,7303.62244328146,319.374171257019
Hidden_River_Telecom_Park,USF_Hospitals_Busch_Gardens,3560.79154932499,696.162229537964
East_Town,USF_Hospitals_Busch_Gardens,4895.78875176865,434.068736076355
Plant_City_Area,USF_Hospitals_Busch_Gardens,339.365247786045,32.7745094299316
Westshore_Rocky_Point,USF_Hospitals_Busch_Gardens,3505.21408912505,540.528226852417
Southwest_Hillsborough,USF_Hospitals_Busch_Gardens,4896.59431725741,343.981148719788
MacDill_AFB_Port_Tampa,USF_Hospitals_Busch_Gardens,249.425055742264,40.9489316940308
Downtown,USF_Hospitals_Busch_Gardens,7440.30727215111,466.846294403076
Port_of_Tampa_50th_St_Corridor,USF_Hospitals_Busch_Gardens,424.770081520081,40.9572772979736
West_Brandon_S_Falkenburg_Corrido,USF_Hospitals_Busch_Gardens,2980.45371371508,311.231861114502
Southeast_Hillsborough,USF_Hospitals_Busch_Gardens,9610.96222753637,180.185392379761
CZ1,USF_Hospitals_Busch_Gardens,4197.11337176361,139.21369934082
CZ2,USF_Hospitals_Busch_Gardens,1604.93108713627,49.137490272522
CZ3,USF_Hospitals_Busch_Gardens,678.078877907246,24.5644226074219
CZ4,USF_Hospitals_Busch_Gardens,2805.68794610724,163.879204750061
External,USF_Hospitals_Busch_Gardens,2629.44875478745,73.713809967041
Pinellas,USF_Hospitals_Busch_Gardens,31286.9506040542,1883.8389043808
Pasco,USF_Hospitals_Busch_Gardens,12601.1956432285,447.785095870495
Hernando_Citrus,USF_Hospitals_Busch_Gardens,1039.09334559343,3630.32367681066
Northwest_Hillsborough,Harney_Corridor_Tampa_Ex_Airpor,10203.3961443813,171.975840568543
Northeast_Hillsborough,Harney_Corridor_Tampa_Ex_Airpor,22215.1273658648,630.649773597717
Tampa_Central,Harney_Corridor_Tampa_Ex_Airpor,97079.8226418046,2071.85592842102
Citrus_Park,Harney_Corridor_Tampa_Ex_Airpor,290.652468681335,0
Tampa_Intl_Airport_Anderson_Rd,Harney_Corridor_Tampa_Ex_Airpor,2769.05464458466,114.652342796326
USF_Hospitals_Busch_Gardens,Harney_Corridor_Tampa_Ex_Airpor,7577.20158725977,286.639152526855
Harney_Corridor_Tampa_Ex_Airpor,Harney_Corridor_Tampa_Ex_Airpor,63984.8826737404,3214.22390335798
Hidden_River_Telecom_Park,Harney_Corridor_Tampa_Ex_Airpor,1686.95074224472,65.5036716461182
East_Town,Harney_Corridor_Tampa_Ex_Airpor,13246.1603093115,716.720025062561
Plant_City_Area,Harney_Corridor_Tampa_Ex_Airpor,752.862483978272,98.2740669250488
Westshore_Rocky_Point,Harney_Corridor_Tampa_Ex_Airpor,2509.37495177984,81.9008436203003
Southwest_Hillsborough,Harney_Corridor_Tampa_Ex_Airpor,3617.61402593565,122.838274002075
MacDill_AFB_Port_Tampa,Harney_Corridor_Tampa_Ex_Airpor,41.3129711151123,24.5568351745606
Downtown,Harney_Corridor_Tampa_Ex_Airpor,6468.53939381195,196.565584182739
Port_of_Tampa_50th_St_Corridor,Harney_Corridor_Tampa_Ex_Airpor,1543.54979658127,90.1175270080566
West_Brandon_S_Falkenburg_Corrido,Harney_Corridor_Tampa_Ex_Airpor,4999.04648470879,212.91032409668
Southeast_Hillsborough,Harney_Corridor_Tampa_Ex_Airpor,12729.9355703858,204.70129776001
CZ1,Harney_Corridor_Tampa_Ex_Airpor,3724.38576364517,40.9429016113281
CZ2,Harney_Corridor_Tampa_Ex_Airpor,1012.36538509652,24.5725994110107
CZ3,Harney_Corridor_Tampa_Ex_Airpor,1148.76292896271,32.7628965377808
CZ4,Harney_Corridor_Tampa_Ex_Airpor,1986.08644533157,106.520763397217
External,Harney_Corridor_Tampa_Ex_Airpor,958.339021146297,32.7634658813477
Pinellas,Harney_Corridor_Tampa_Ex_Airpor,9922.03030427685,434.125991821289
Pasco,Harney_Corridor_Tampa_Ex_Airpor,3670.52581644058,73.7045269012451
Hernando_Citrus,Harney_Corridor_Tampa_Ex_Airpor,930.133035336039,1850.60779544641
Northwest_Hillsborough,Hidden_River_Telecom_Park,3236.51023507118,98.3312425613403
Northeast_Hillsborough,Hidden_River_Telecom_Park,7232.51640272141,229.431146621704
Tampa_Central,Hidden_River_Telecom_Park,15083.5784048799,1171.06140995026
Citrus_Park,Hidden_River_Telecom_Park,26.2973999977112,0
Tampa_Intl_Airport_Anderson_Rd,Hidden_River_Telecom_Park,593.987146854401,16.3821992874146
USF_Hospitals_Busch_Gardens,Hidden_River_Telecom_Park,3262.55040800571,671.59640789032
Harney_Corridor_Tampa_Ex_Airpor,Hidden_River_Telecom_Park,1776.24736166,90.0566320419312
Hidden_River_Telecom_Park,Hidden_River_Telecom_Park,11390.9175391197,742.890190124512
East_Town,Hidden_River_Telecom_Park,1168.94943141937,106.465107917786
Plant_City_Area,Hidden_River_Telecom_Park,95.3150992393494,0
Westshore_Rocky_Point,Hidden_River_Telecom_Park,574.007856845856,57.324296951294
Southwest_Hillsborough,Hidden_River_Telecom_Park,1149.16420793533,90.0956859588623
MacDill_AFB_Port_Tampa,Hidden_River_Telecom_Park,8.18858146667481,16.374490737915
Downtown,Hidden_River_Telecom_Park,1326.11915493011,122.847208023071
Port_of_Tampa_50th_St_Corridor,Hidden_River_Telecom_Park,152.459764480591,0
West_Brandon_S_Falkenburg_Corrido,Hidden_River_Telecom_Park,715.143342971802,16.3782730102539
Southeast_Hillsborough,Hidden_River_Telecom_Park,1760.2244874686,122.828981399536
CZ1,Hidden_River_Telecom_Park,742.924424648285,8.18737316131592
CZ2,Hidden_River_Telecom_Park,236.642206668854,14.2223903536797
CZ3,Hidden_River_Telecom_Park,117.816234111786,8.19086647033691
CZ4,Hidden_River_Telecom_Park,647.238687515259,32.7634658813477
External,Hidden_River_Telecom_Park,356.36906427145,16.3817329406738
Pinellas,Hidden_River_Telecom_Park,4591.52799804707,262.098072052002
Pasco,Hidden_River_Telecom_Park,1524.25252169371,147.447253227234
Hernando_Citrus,Hidden_River_Telecom_Park,156.29085166147,508.269493234344
Northwest_Hillsborough,East_Town,15729.7543560681,417.66242980957
Northeast_Hillsborough,East_Town,69208.8168643748,2211.70966625214
Tampa_Central,East_Town,81891.9749006098,3153.187541008
Citrus_Park,East_Town,109.363254547119,24.5725994110107
Tampa_Intl_Airport_Anderson_Rd,East_Town,4897.15732060385,311.195328712463
USF_Hospitals_Busch_Gardens,East_Town,4318.7361527516,425.884714126587
Harney_Corridor_Tampa_Ex_Airpor,East_Town,13250.4468229371,671.700575828552
Hidden_River_Telecom_Park,East_Town,1152.68154463032,90.1031856536865
East_Town,East_Town,117293.994971778,8996.17469978333
Plant_City_Area,East_Town,1231.86838725861,106.500008583069
Westshore_Rocky_Point,East_Town,4433.12722222786,393.101662635803
Southwest_Hillsborough,East_Town,7663.15901119658,425.869770050049
MacDill_AFB_Port_Tampa,East_Town,526.751452445984,24.5637083053589
Downtown,East_Town,10719.155682385,818.950357437134
Port_of_Tampa_50th_St_Corridor,East_Town,5171.07032305282,155.592018127441
West_Brandon_S_Falkenburg_Corrido,East_Town,23325.7081311165,1654.30964946747
Southeast_Hillsborough,East_Town,43626.63596531,1261.10538196564
CZ1,East_Town,10214.8739128113,131.035799026489
CZ2,East_Town,4980.44236540794,139.205788612366
CZ3,East_Town,1800.30934332404,65.5234842300415
CZ4,East_Town,7149.47103639226,343.926775932312
External,East_Town,1964.90090608597,81.9115409851074
Pinellas,East_Town,19831.1461243429,1040.20947742462
Pasco,East_Town,6206.24464260601,219.037984907627
Hernando_Citrus,East_Town,1661.76555390732,3834.36750560527
Northwest_Hillsborough,Plant_City_Area,656.940134804696,73.7092781066895
Northeast_Hillsborough,Plant_City_Area,81114.2507481002,4218.62683677673
Tampa_Central,Plant_City_Area,3279.20762261748,155.61296081543
Citrus_Park,Plant_City_Area,18.0953063964844,0
Tampa_Intl_Airport_Anderson_Rd,Plant_City_Area,523.860567092896,24.5630693435669
USF_Hospitals_Busch_Gardens,Plant_City_Area,333.912274837494,49.1364660263062
Harney_Corridor_Tampa_Ex_Airpor,Plant_City_Area,788.484667778015,98.263298034668
Hidden_River_Telecom_Park,Plant_City_Area,195.208611965179,8.18732452392578
East_Town,Plant_City_Area,1533.60056853294,188.372703552246
Plant_City_Area,Plant_City_Area,62647.2507252693,4308.84980583191
Westshore_Rocky_Point,Plant_City_Area,312.412012994289,57.3233900070191
Southwest_Hillsborough,Plant_City_Area,606.13121598959,49.1459054946899
MacDill_AFB_Port_Tampa,Plant_City_Area,0,0
Downtown,Plant_City_Area,606.644800186157,32.7574777603149
Port_of_Tampa_50th_St_Corridor,Plant_City_Area,103.18903875351,24.5825862884522
West_Brandon_S_Falkenburg_Corrido,Plant_City_Area,751.063446044922,32.7594413757324
Southeast_Hillsborough,Plant_City_Area,7767.46108011063,425.887561798096
CZ1,Plant_City_Area,578.948138713837,55.3047224283218
CZ2,Plant_City_Area,396.560604370199,24.5759620666504
CZ3,Plant_City_Area,128.042819976807,8.1888313293457
