FROM,TO,TRIPS
Grand Central Area,Dwntwn USF Albert Whitted Airport,2989.21767950058
Grand Central Area,Gateway Area,0
Grand Central Area,Grand Central Area,2282.693359375
Grand Central Area,Hernando  Citrus,13.6816649404354
Grand Central Area,Hillsborough,911.031210422516
Grand Central Area,Manatee Spur,0
Grand Central Area,Mid-Cnty Ind Area,0
Grand Central Area,Oldsmar Ind Area,0
Grand Central Area,Pasco,848.894615650177
Grand Central Area,Pinellas Beaches,16.375036239624
Grand Central Area,Pinellas Central,16.3769035339355
Grand Central Area,Pinellas North,46.6960558891296
Grand Central Area,Pinellas North Central,40.2592434883118
Grand Central Area,Pinellas South,8469.21821212769
Grand Central Area,St Petersburg Clearwater Area,0
Grand Central Area,Tarpon Springs Area,124.455192565918
Grand Central Area,Tyrone Square Area,0
Hernando  Citrus,,0
Hernando  Citrus,Clearwater Dwntwn,331.802689549513
Hernando  Citrus,Clearwater Mall,73.3185565248132
Hernando  Citrus,Countryside Mall,79.925037831068
Hernando  Citrus,Dwntwn USF Albert Whitted Airport,985.143449717201
Hernando  Citrus,Gateway Area,1222.47214025538
Hernando  Citrus,Grand Central Area,23.6066527334042
Hernando  Citrus,Hernando  Citrus,0
Hernando  Citrus,Hillsborough,0
Hernando  Citrus,Manatee Spur,0
Hernando  Citrus,Mid-Cnty Ind Area,2446.99338206649
Hernando  Citrus,Oldsmar Ind Area,135.279263170436
Hernando  Citrus,Pasco,0
Hernando  Citrus,Pinellas Beaches,2382.13876383565
Hernando  Citrus,Pinellas Central,8422.77924945764
Hernando  Citrus,Pinellas North,3904.0189127177
Hernando  Citrus,Pinellas North Central,5662.90626810445
Hernando  Citrus,Pinellas South,14509.916287771
Hernando  Citrus,St Petersburg Clearwater Area,63.5539210457355
Hernando  Citrus,Tarpon Springs Area,74.5630277139135
Hernando  Citrus,Tyrone Square Area,173.822067974601
Hillsborough,,0
Hillsborough,Clearwater Dwntwn,12027.5445378062
Hillsborough,Clearwater Mall,1236.36030329205
Hillsborough,Countryside Mall,898.636552870274
Hillsborough,Dwntwn USF Albert Whitted Airport,34375.1167312083
Hillsborough,Gateway Area,9039.52160921879
Hillsborough,Grand Central Area,988.790432929993
Hillsborough,Hernando  Citrus,0
Hillsborough,Hillsborough,0
Hillsborough,Manatee Spur,0
Hillsborough,Mid-Cnty Ind Area,48203.223389308
Hillsborough,Oldsmar Ind Area,6003.69171464443
Hillsborough,Pasco,0
Hillsborough,Pinellas Beaches,38117.2947193495
Hillsborough,Pinellas Central,137723.122990727
Hillsborough,Pinellas North,261473.919067718
Hillsborough,Pinellas North Central,173042.908884394
Hillsborough,Pinellas South,301779.092300745
Hillsborough,St Petersburg Clearwater Area,1248.33057267498
Hillsborough,Tarpon Springs Area,4420.33457734855
Hillsborough,Tyrone Square Area,2158.17801403999
Manatee Spur,,0
Manatee Spur,Clearwater Dwntwn,0
Manatee Spur,Clearwater Mall,0
Manatee Spur,Countryside Mall,0
Manatee Spur,Dwntwn USF Albert Whitted Airport,0
Manatee Spur,Gateway Area,0
Manatee Spur,Grand Central Area,0
Manatee Spur,Hernando  Citrus,0
Manatee Spur,Hillsborough,0
Manatee Spur,Manatee Spur,0
Manatee Spur,Mid-Cnty Ind Area,0
Manatee Spur,Oldsmar Ind Area,0
Manatee Spur,Pasco,0
Manatee Spur,Pinellas Beaches,0
Manatee Spur,Pinellas Central,0
Manatee Spur,Pinellas North,0
Manatee Spur,Pinellas North Central,0
Manatee Spur,Pinellas South,0
Manatee Spur,St Petersburg Clearwater Area,0
Manatee Spur,Tarpon Springs Area,0
Manatee Spur,Tyrone Square Area,0
Mid-Cnty Ind Area,,0
Mid-Cnty Ind Area,Clearwater Dwntwn,5277.89689185005
Mid-Cnty Ind Area,Clearwater Mall,561.270795822144
Mid-Cnty Ind Area,Countryside Mall,208.756720542908
Mid-Cnty Ind Area,Dwntwn USF Albert Whitted Airport,867.460274314974
Mid-Cnty Ind Area,Gateway Area,8777.75099205971
Mid-Cnty Ind Area,Grand Central Area,19.5027389526367
Mid-Cnty Ind Area,Hernando  Citrus,2380.95918238815
Mid-Cnty Ind Area,Hillsborough,49068.9209011984
Mid-Cnty Ind Area,Manatee Spur,0
Mid-Cnty Ind Area,Mid-Cnty Ind Area,193572.043115854
Mid-Cnty Ind Area,Oldsmar Ind Area,638.752104759216
Mid-Cnty Ind Area,Pasco,1645.34280912206
Mid-Cnty Ind Area,Pinellas Beaches,18266.2404596629
Mid-Cnty Ind Area,Pinellas Central,172757.659213998
Mid-Cnty Ind Area,Pinellas North,11156.5286908327
Mid-Cnty Ind Area,Pinellas North Central,41952.7950982633
Mid-Cnty Ind Area,Pinellas South,121582.237209793
Mid-Cnty Ind Area,St Petersburg Clearwater Area,6127.81519365311
Mid-Cnty Ind Area,Tarpon Springs Area,106.557702064514
Mid-Cnty Ind Area,Tyrone Square Area,2351.82760992693
Oldsmar Ind Area,,0
Oldsmar Ind Area,Clearwater Dwntwn,572.903959035874
Oldsmar Ind Area,Clearwater Mall,69.0855493545532
Oldsmar Ind Area,Countryside Mall,0
Oldsmar Ind Area,Dwntwn USF Albert Whitted Airport,58.4217419624329
Oldsmar Ind Area,Gateway Area,193.001468658447
Oldsmar Ind Area,Grand Central Area,0
Oldsmar Ind Area,Hernando  Citrus,127.84347406216
Oldsmar Ind Area,Hillsborough,7040.01567590609
Oldsmar Ind Area,Manatee Spur,0
Oldsmar Ind Area,Mid-Cnty Ind Area,765.843903541565
Oldsmar Ind Area,Oldsmar Ind Area,2578.18209457398
Oldsmar Ind Area,Pasco,121.808623790741
Oldsmar Ind Area,Pinellas Beaches,1072.65476441383
Oldsmar Ind Area,Pinellas Central,1775.81539601833
Oldsmar Ind Area,Pinellas North,7776.94223809242
Oldsmar Ind Area,Pinellas North Central,18495.6317882538
Oldsmar Ind Area,Pinellas South,1182.62829494476
Oldsmar Ind Area,St Petersburg Clearwater Area,0
Oldsmar Ind Area,Tarpon Springs Area,115.189661026001
Oldsmar Ind Area,Tyrone Square Area,40.9589195251465
Pasco,,0
Pasco,Clearwater Dwntwn,278.322813034058
Pasco,Clearwater Mall,47.4368863105774
Pasco,Countryside Mall,48.0381593704224
Pasco,Dwntwn USF Albert Whitted Airport,22959.933093851
Pasco,Gateway Area,373.919959411025
Pasco,Grand Central Area,898.443589687348
Pasco,Hernando  Citrus,0
Pasco,Hillsborough,0
Pasco,Manatee Spur,0
Pasco,Mid-Cnty Ind Area,1401.77799385064
Pasco,Oldsmar Ind Area,99.2171149253845
Pasco,Pasco,0
Pasco,Pinellas Beaches,1511.86375069618
Pasco,Pinellas Central,5423.56470177276
Pasco,Pinellas North,4850.86603105068
Pasco,Pinellas North Central,5223.38168564532
Pasco,Pinellas South,58038.3198553235
Pasco,St Petersburg Clearwater Area,56.0514898300171
Pasco,Tarpon Springs Area,160.790785312653
Pasco,Tyrone Square Area,4.87080812454224
Pinellas Beaches,,0
Pinellas Beaches,Clearwater Dwntwn,11121.2896203995
Pinellas Beaches,Clearwater Mall,3218.00358629227
Pinellas Beaches,Countryside Mall,682.836283683777
Pinellas Beaches,Dwntwn USF Albert Whitted Airport,650.391366004944
Pinellas Beaches,Gateway Area,14194.4179959297
Pinellas Beaches,Grand Central Area,16.375036239624
Pinellas Beaches,Hernando  Citrus,2508.61347096227
Pinellas Beaches,Hillsborough,36726.3466899958
Pinellas Beaches,Manatee Spur,0
Pinellas Beaches,Mid-Cnty Ind Area,17634.4132317067
Pinellas Beaches,Oldsmar Ind Area,1236.21457338333
Pinellas Beaches,Pasco,1505.90807215404
Pinellas Beaches,Pinellas Beaches,101497.525288343
Pinellas Beaches,Pinellas Central,89821.0157605944
Pinellas Beaches,Pinellas North,15168.2839993238
Pinellas Beaches,Pinellas North Central,93644.426347644
Pinellas Beaches,Pinellas South,124600.792500814
Pinellas Beaches,St Petersburg Clearwater Area,648.842876911163
Pinellas Beaches,Tarpon Springs Area,203.91814661026
Pinellas Beaches,Tyrone Square Area,2343.32594347
Pinellas Central,,0
Pinellas Central,Clearwater Dwntwn,26867.6747067892
Pinellas Central,Clearwater Mall,6853.22586631775
Pinellas Central,Countryside Mall,3398.06806278229
Pinellas Central,Dwntwn USF Albert Whitted Airport,2788.97731113434
Pinellas Central,Gateway Area,22012.9625401127
Pinellas Central,Grand Central Area,54.3416254520416
Pinellas Central,Hernando  Citrus,8412.04541995935
Pinellas Central,Hillsborough,147609.311783009
Pinellas Central,Manatee Spur,0
Pinellas Central,Mid-Cnty Ind Area,176121.850698997
Pinellas Central,Oldsmar Ind Area,1881.17225856334
Pinellas Central,Pasco,4923.55967519758
Pinellas Central,Pinellas Beaches,89063.2081072357
Pinellas Central,Pinellas Central,1078708.76723145
Pinellas Central,Pinellas North,44426.0036879717
Pinellas Central,Pinellas North Central,228885.009677816
Pinellas Central,Pinellas South,334202.037622662
Pinellas Central,St Petersburg Clearwater Area,13381.2749118805
Pinellas Central,Tarpon Springs Area,676.031221866608
Pinellas Central,Tyrone Square Area,6503.47053914331
Pinellas North,,0
Pinellas North,Clearwater Dwntwn,8370.77934080362
Pinellas North,Clearwater Mall,1264.36936378479
Pinellas North,Countryside Mall,412.3171043396
Pinellas North,Dwntwn USF Albert Whitted Airport,4795.01828596741
Pinellas North,Gateway Area,1431.63826847076
Pinellas North,Grand Central Area,86.844007730484
Pinellas North,Hernando  Citrus,3799.45494167507
Pinellas North,Hillsborough,257488.199641286
Pinellas North,Manatee Spur,0
Pinellas North,Mid-Cnty Ind Area,11324.7541410923
Pinellas North,Oldsmar Ind Area,8144.24238157272
Pinellas North,Pasco,4999.66478696559
Pinellas North,Pinellas Beaches,14778.8496969594
Pinellas North,Pinellas Central,41718.3109038104
Pinellas North,Pinellas North,511416.898062728
Pinellas North,Pinellas North Central,182723.146786395
Pinellas North,Pinellas South,41753.1974437011
Pinellas North,St Petersburg Clearwater Area,389.041715621948
Pinellas North,Tarpon Springs Area,7464.11258292198
Pinellas North,Tyrone Square Area,859.397089481354
Pinellas North Central,,0
Pinellas North Central,Clearwater Dwntwn,75896.0120122051
Pinellas North Central,Clearwater Mall,16320.5719914436
Pinellas North Central,Countryside Mall,4761.5620470047
Pinellas North Central,Dwntwn USF Albert Whitted Airport,3968.9816241255
Pinellas North Central,Gateway Area,5643.47837588401
Pinellas North Central,Grand Central Area,66.5660095214844
Pinellas North Central,Hernando  Citrus,5449.54119963246
Pinellas North Central,Hillsborough,178497.925238424
Pinellas North Central,Manatee Spur,0
Pinellas North Central,Mid-Cnty Ind Area,40844.7024861425
Pinellas North Central,Oldsmar Ind Area,18647.5264925957
Pinellas North Central,Pasco,5424.09490516223
Pinellas North Central,Pinellas Beaches,93395.4868887613
Pinellas North Central,Pinellas Central,222098.541541094
Pinellas North Central,Pinellas North,186913.567393958
Pinellas North Central,Pinellas North Central,1095746.78987835
Pinellas North Central,Pinellas South,93117.5707603614
Pinellas North Central,St Petersburg Clearwater Area,2047.01019179821
Pinellas North Central,Tarpon Springs Area,1602.43791007996
Pinellas North Central,Tyrone Square Area,1502.35999917984
Pinellas South,,0
Pinellas South,Clearwater Dwntwn,7639.78898543865
Pinellas South,Clearwater Mall,1459.63760733604
Pinellas South,Countryside Mall,508.890650272369
Pinellas South,Dwntwn USF Albert Whitted Airport,246502.39292137
Pinellas South,Gateway Area,97597.3802345339
Pinellas South,Grand Central Area,7936.85532967374
Pinellas South,Hernando  Citrus,14533.6772862584
Pinellas South,Hillsborough,292612.717781633
Pinellas South,Manatee Spur,0
Pinellas South,Mid-Cnty Ind Area,120800.927513917
Pinellas South,Oldsmar Ind Area,1186.91136789322
Pinellas South,Pasco,58426.9394288755
Pinellas South,Pinellas Beaches,120169.246217755
Pinellas South,Pinellas Central,330007.181794339
Pinellas South,Pinellas North,40193.485654074
Pinellas South,Pinellas North Central,91616.6558518538
Pinellas South,Pinellas South,2548684.45827906
Pinellas South,St Petersburg Clearwater Area,3876.20160579681
Pinellas South,Tarpon Springs Area,1023.68329167366
Pinellas South,Tyrone Square Area,53117.9528515423
St Petersburg Clearwater Area,,0
St Petersburg Clearwater Area,Clearwater Dwntwn,136.572929859161
St Petersburg Clearwater Area,Clearwater Mall,25.0182447433472
St Petersburg Clearwater Area,Countryside Mall,0
St Petersburg Clearwater Area,Dwntwn USF Albert Whitted Airport,21.6013221740723
St Petersburg Clearwater Area,Gateway Area,482.849131584168
St Petersburg Clearwater Area,Grand Central Area,0
St Petersburg Clearwater Area,Hernando  Citrus,59.3349955696613
St Petersburg Clearwater Area,Hillsborough,1434.20912356209
St Petersburg Clearwater Area,Manatee Spur,0
St Petersburg Clearwater Area,Mid-Cnty Ind Area,6558.88850402832
St Petersburg Clearwater Area,Oldsmar Ind Area,0
St Petersburg Clearwater Area,Pasco,38.7370610237122
St Petersburg Clearwater Area,Pinellas Beaches,565.75209236145
St Petersburg Clearwater Area,Pinellas Central,13311.1502087116
St Petersburg Clearwater Area,Pinellas North,387.743155479431
St Petersburg Clearwater Area,Pinellas North Central,2147.69172465801
St Petersburg Clearwater Area,Pinellas South,4174.46030020714
St Petersburg Clearwater Area,St Petersburg Clearwater Area,3859.58062744141
St Petersburg Clearwater Area,Tarpon Springs Area,24.9580192565918
St Petersburg Clearwater Area,Tyrone Square Area,140.968431472778
Tarpon Springs Area,,0
Tarpon Springs Area,Clearwater Dwntwn,73.5015082359314
Tarpon Springs Area,Clearwater Mall,0
Tarpon Springs Area,Countryside Mall,0
Tarpon Springs Area,Dwntwn USF Albert Whitted Airport,55.5964865684509
Tarpon Springs Area,Gateway Area,0
Tarpon Springs Area,Grand Central Area,62.0687484741211
Tarpon Springs Area,Hernando  Citrus,74.5630277139135
Tarpon Springs Area,Hillsborough,4762.63070988655
Tarpon Springs Area,Manatee Spur,0
Tarpon Springs Area,Mid-Cnty Ind Area,147.692110061646
Tarpon Springs Area,Oldsmar Ind Area,156.023546218872
Tarpon Springs Area,Pasco,213.794639375526
Tarpon Springs Area,Pinellas Beaches,247.49187374115
Tarpon Springs Area,Pinellas Central,527.93678021431
Tarpon Springs Area,Pinellas North,7023.18684005737
Tarpon Springs Area,Pinellas North Central,1562.70679664612
Tarpon Springs Area,Pinellas South,1228.44189143181
Tarpon Springs Area,St Petersburg Clearwater Area,12.4790096282959
Tarpon Springs Area,Tarpon Springs Area,2688.63363647461
Tarpon Springs Area,Tyrone Square Area,0
Tyrone Square Area,,0
Tyrone Square Area,Clearwater Dwntwn,84.5754628181458
Tyrone Square Area,Clearwater Mall,16.3788204193115
Tyrone Square Area,Countryside Mall,0
Tyrone Square Area,Dwntwn USF Albert Whitted Airport,18.5878314971924
Tyrone Square Area,Gateway Area,2034.95259857178
Tyrone Square Area,Grand Central Area,0
Tyrone Square Area,Hernando  Citrus,157.442811726127
Tyrone Square Area,Hillsborough,1582.72409825027
Tyrone Square Area,Manatee Spur,0
Tyrone Square Area,Mid-Cnty Ind Area,2139.52571669268
Tyrone Square Area,Oldsmar Ind Area,98.326244354248
Tyrone Square Area,Pasco,60.2022218704224
Tyrone Square Area,Pinellas Beaches,2241.0540895462
Tyrone Square Area,Pinellas Central,5514.69792699814
Tyrone Square Area,Pinellas North,686.515415668488
Tyrone Square Area,Pinellas North Central,1309.88503885269
Tyrone Square Area,Pinellas South,51165.9740777211
Tyrone Square Area,St Petersburg Clearwater Area,90.2403106689453
Tyrone Square Area,Tarpon Springs Area,0
Tyrone Square Area,Tyrone Square Area,13128.3456420898
