FROM,TO,TRIPS
Clearwater Dwntwn,Pinellas Central,3498.51152
Countryside Mall,Pinellas Central,375.13474
Mid-Cnty Ind Area,Pinellas Central,34550.62359
Hillsborough,Pinellas Central,31635.94452
External,Pinellas Central,2697.74187
Clearwater Mall,Pinellas Central,1015.91203
Dwntwn USF Albert Whitted Airport,Pinellas Central,7105.30547
Gateway Area,Pinellas Central,10915.07016
Hernando & Citrus,Pinellas Central,674.36063
Pasco,Pinellas Central,1094.86042
Pinellas Central,Mid-Cnty Ind Area,43358.30813
Pinellas North Central,Mid-Cnty Ind Area,12794.84806
Mid-Cnty Ind Area,Mid-Cnty Ind Area,10074.59703
Pinellas South,Mid-Cnty Ind Area,22593.98548
Hillsborough,Mid-Cnty Ind Area,7046.2287
Tyrone Square Area,Pinellas Central,1416.59139
Oldsmar Ind Area,Pinellas Central,142.26536
Pinellas Beaches,Mid-Cnty Ind Area,1658.73917
Clearwater Dwntwn,Mid-Cnty Ind Area,79.05105
Pinellas North Central,St Petersburg Clearwater Area,6.33345
St Petersburg Clearwater Area,St Petersburg Clearwater Area,39.96822
Mid-Cnty Ind Area,St Petersburg Clearwater Area,5.62148
Pinellas South,St Petersburg Clearwater Area,301.90531
Pinellas North,Mid-Cnty Ind Area,3602.14183
Gateway Area,Mid-Cnty Ind Area,2886.98052
External,Mid-Cnty Ind Area,241.18776
Pasco,Mid-Cnty Ind Area,2552.13984
St Petersburg Clearwater Area,Mid-Cnty Ind Area,0
External,St Petersburg Clearwater Area,0
Hillsborough,St Petersburg Clearwater Area,191.29275
Pinellas North,St Petersburg Clearwater Area,4661.99748
Pinellas Central,St Petersburg Clearwater Area,809.64541
Dwntwn USF Albert Whitted Airport,St Petersburg Clearwater Area,0
Pasco,St Petersburg Clearwater Area,0
St Petersburg Clearwater Area,Pinellas Central,0
Dwntwn USF Albert Whitted Airport,Mid-Cnty Ind Area,180.91302
Hernando & Citrus,Mid-Cnty Ind Area,40.24512
Clearwater Mall,Mid-Cnty Ind Area,0
Hillsborough,Pinellas South,35925.75493
Pinellas North Central,Pinellas South,32051.85677
Countryside Mall,Pinellas South,0
Pinellas Central,Pinellas South,53284.6592
Mid-Cnty Ind Area,Pinellas South,20965.29492
Pinellas South,Pinellas South,598379.043789999
Gateway Area,Pinellas South,32678.7001
Manatee Spur,Pinellas South,0
External,Pinellas South,8348.06859
Pinellas Beaches,Pinellas South,20838.54123
Tyrone Square Area,Pinellas South,25744.30957
Dwntwn USF Albert Whitted Airport,Pinellas South,50217.7834
Pinellas North,Pinellas South,2848.79707
Clearwater Dwntwn,Pinellas South,2746.13394
Hillsborough,Gateway Area,10749.21049
Pinellas North,Gateway Area,893.49573
Pinellas Central,Gateway Area,12963.73503
Mid-Cnty Ind Area,Gateway Area,3542.90755
Pinellas South,Gateway Area,33551.28924
Gateway Area,Gateway Area,28471.02664
Dwntwn USF Albert Whitted Airport,Gateway Area,5699.11565
External,Gateway Area,0
St Petersburg Clearwater Area,Pinellas South,32.02904
Grand Central Area,Pinellas South,8704.63828
Pasco,Pinellas South,1331.84342
Hernando & Citrus,Pinellas South,1275.97518
Grand Central Area,Pinellas Beaches,39.74852
Pinellas North Central,Gateway Area,3173.17283
Pasco,Gateway Area,149.7468
Grand Central Area,Gateway Area,0
Clearwater Mall,Pinellas South,1002.09438
External,Tyrone Square Area,3114.7902
Pinellas North Central,Tyrone Square Area,536.95298
Pinellas Central,Tyrone Square Area,2046.64262
Pinellas South,Tyrone Square Area,33919.9064
Tyrone Square Area,Tyrone Square Area,6067.34624
Dwntwn USF Albert Whitted Airport,Tyrone Square Area,466.51458
Mid-Cnty Ind Area,Tyrone Square Area,0
Pinellas Beaches,Tyrone Square Area,495.76472
Hillsborough,Tyrone Square Area,156.42089
Pinellas South,Dwntwn USF Albert Whitted Airport,52360.5653
Dwntwn USF Albert Whitted Airport,Dwntwn USF Albert Whitted Airport,52538.40315
Pinellas Central,Dwntwn USF Albert Whitted Airport,5911.93513
Hillsborough,Dwntwn USF Albert Whitted Airport,10976.78551
Gateway Area,Dwntwn USF Albert Whitted Airport,7782.43589
Grand Central Area,Dwntwn USF Albert Whitted Airport,2220.2571
Pinellas North Central,Dwntwn USF Albert Whitted Airport,17417.16758
Pinellas Beaches,Dwntwn USF Albert Whitted Airport,2331.19006
Pinellas North,Dwntwn USF Albert Whitted Airport,360.05797
Oldsmar Ind Area,Dwntwn USF Albert Whitted Airport,0
Mid-Cnty Ind Area,Dwntwn USF Albert Whitted Airport,5788.24055
Pasco,Dwntwn USF Albert Whitted Airport,0
External,Grand Central Area,98.32953
Hillsborough,Grand Central Area,888.63573
Pinellas South,Grand Central Area,7289.33407
Pinellas Beaches,Grand Central Area,39.74852
Dwntwn USF Albert Whitted Airport,Grand Central Area,2219.05892
Grand Central Area,Grand Central Area,6764.34753
External,Dwntwn USF Albert Whitted Airport,734.71942
Tyrone Square Area,Dwntwn USF Albert Whitted Airport,329.003
Clearwater Dwntwn,Dwntwn USF Albert Whitted Airport,0
Hillsborough,Pasco,165598.8798
Pasco,Pasco,1581165.54056999
