FROM,TO,AM_TOTAL,MD_TOTAL,OP_TOTAL,PM_TOTAL,AM_RESIDENTS,MD_RESIDENTS,OP_RESIDENTS,PM_RESIDENTS,AM_VISITORS,MD_VISITORS,OP_VISITORS,PM_VISITORS
Williamson,Davidson,22988.9,42412.06,33223.5,40381.61,22835.11,41483.78,33007.53,39926.08,153.79,928.28,215.97,455.53
Williamson,External,2906.12,5612.46,5448.58,5149.86,759,1892.59,1662.32,1615.67,2147.12,3719.87,3786.26,3534.19
Williamson,Maury,3198.87,10285.06,8956.92,11865.93,3133.14,9938.8,8850.49,11647.8,65.73,346.26,106.44,218.13
Williamson,Robertson,85.63,148.45,260.87,313.59,83.91,141.17,258.43,307.66,1.72,7.28,2.44,5.93
Williamson,Rutherford,1552.43,4515.25,5128.61,8243.4,1546.61,4402.78,5079.39,8154.6,5.82,112.47,49.21,88.8
Williamson,Sumner,187.7,730.92,776.1,1188.79,187.7,720.34,774.78,1187.05,0,10.58,1.32,1.75
Williamson,Williamson,64436.57,193547.57,108880.46,160582.19,63610.99,188121.72,107826.2,158232.13,825.59,5425.85,1054.26,2350.06
Williamson,Wilson,273.35,943.69,945.25,1308.66,268.3,911.12,939.92,1269.61,5.05,32.57,5.33,39.04
Wilson,Davidson,15792.01,20516.96,18377.35,13951.46,15710.1,20207.86,18256.59,13851.32,81.91,309.11,120.76,100.13
Wilson,External,1860.38,3597.43,3929.22,3073.27,564.51,1305.12,1311.12,966.89,1295.87,2292.31,2618.1,2106.38
Wilson,Maury,51.32,125.67,89.54,73.92,49.26,106,88.14,69.29,2.05,19.66,1.4,4.63
Wilson,Robertson,52.24,159.29,145.42,144.9,52.24,158.26,142.9,144.9,0,1.04,2.52,0
Wilson,Rutherford,1722.58,3043.5,3090.37,3106.54,1706.61,2969.83,3036.27,3061.78,15.97,73.67,54.1,44.77
Wilson,Sumner,1063,1860.03,1601.57,1730.05,1059.32,1833.48,1590.72,1708.11,3.68,26.55,10.85,21.94
Wilson,Williamson,959.32,1092.95,642.29,485.51,959.32,1077.01,638.79,473.67,0,15.94,3.5,11.84
Wilson,Wilson,32972.46,88397.13,66396.8,75899.8,32539.8,85869.52,65667.22,74448.63,432.67,2527.61,729.59,1451.17
