ZONE,COUNTY,RESIDENCY,QUANTITY
76,Davidson,VISITORS,28.94
77,Davidson,RESIDENTS,2592.42
77,Davidson,VISITORS,21.8
78,Davidson,RESIDENTS,1181.97
78,Davidson,VISITORS,7.75
79,Davidson,RESIDENTS,1536.79
79,Davidson,VISITORS,26.83
80,Davidson,RESIDENTS,1370.35
80,Davidson,VISITORS,11.36
81,Davidson,RESIDENTS,996.9
81,Davidson,VISITORS,5.14
82,Davidson,RESIDENTS,2587.95
82,Davidson,VISITORS,11.05
83,Davidson,RESIDENTS,1285.24
83,Davidson,VISITORS,8.14
84,Davidson,RESIDENTS,1995.29
84,Davidson,VISITORS,23.82
85,Davidson,RESIDENTS,1323.33
85,Davidson,VISITORS,4.07
86,Davidson,RESIDENTS,4032.08
86,Davidson,VISITORS,64.79
87,Davidson,RESIDENTS,2136.78
87,Davidson,VISITORS,16.34
88,Davidson,RESIDENTS,1307.7
88,Davidson,VISITORS,23.15
89,Davidson,RESIDENTS,5513.37
89,Davidson,VISITORS,84.32
90,Davidson,RESIDENTS,4875.96
90,Davidson,VISITORS,68.32
91,Davidson,RESIDENTS,608.89
91,Davidson,VISITORS,2.13
92,Davidson,RESIDENTS,2332.27
92,Davidson,VISITORS,14.47
93,Davidson,RESIDENTS,3907.61
93,Davidson,VISITORS,12.28
94,Davidson,RESIDENTS,1319.71
94,Davidson,VISITORS,14.48
95,Davidson,RESIDENTS,8996.73
95,Davidson,VISITORS,50.41
96,Davidson,RESIDENTS,1022.08
96,Davidson,VISITORS,57
97,Davidson,RESIDENTS,2341.91
97,Davidson,VISITORS,41.29
98,Davidson,RESIDENTS,1507.65
98,Davidson,VISITORS,33.46
99,Davidson,RESIDENTS,6728.18
99,Davidson,VISITORS,55.28
100,Davidson,RESIDENTS,722.12
100,Davidson,VISITORS,8.22
101,Davidson,RESIDENTS,924.02
101,Davidson,VISITORS,10.05
102,Davidson,RESIDENTS,7406.83
102,Davidson,VISITORS,128.73
103,Davidson,RESIDENTS,1634.56
103,Davidson,VISITORS,46.38
104,Davidson,RESIDENTS,1972.79
104,Davidson,VISITORS,19.67
105,Davidson,RESIDENTS,1243.64
105,Davidson,VISITORS,20.65
106,Davidson,RESIDENTS,1918.7
106,Davidson,VISITORS,27.37
107,Davidson,RESIDENTS,3074.04
107,Davidson,VISITORS,36.57
108,Davidson,RESIDENTS,1301.39
108,Davidson,VISITORS,11.17
109,Davidson,RESIDENTS,5440.3
109,Davidson,VISITORS,47.38
110,Davidson,RESIDENTS,2867.61
110,Davidson,VISITORS,18.06
111,Davidson,RESIDENTS,2852.51
111,Davidson,VISITORS,14.53
112,Davidson,RESIDENTS,1395.46
112,Davidson,VISITORS,4.17
113,Davidson,RESIDENTS,995.04
113,Davidson,VISITORS,7.57
114,Davidson,RESIDENTS,3275.98
114,Davidson,VISITORS,84.81
115,Davidson,RESIDENTS,2259.06
115,Davidson,VISITORS,23.78
116,Davidson,RESIDENTS,2271.32
116,Davidson,VISITORS,36.91
117,Davidson,RESIDENTS,1603.74
117,Davidson,VISITORS,20.96
118,Davidson,RESIDENTS,7293.75
118,Davidson,VISITORS,57.06
119,Davidson,RESIDENTS,1098.23
119,Davidson,VISITORS,4.93
120,Davidson,RESIDENTS,996.68
120,Davidson,VISITORS,26.23
121,Davidson,RESIDENTS,1387.23
121,Davidson,VISITORS,20.79
122,Davidson,RESIDENTS,2165.02
122,Davidson,VISITORS,50.06
123,Davidson,RESIDENTS,2182.82
123,Davidson,VISITORS,18.32
124,Davidson,RESIDENTS,1454.93
124,Davidson,VISITORS,24.36
125,Davidson,RESIDENTS,3048.25
125,Davidson,VISITORS,82.22
126,Davidson,RESIDENTS,682.18
126,Davidson,VISITORS,13.27
127,Davidson,RESIDENTS,373.06
127,Davidson,VISITORS,9.01
128,Davidson,RESIDENTS,980.51
128,Davidson,VISITORS,24.01
129,Davidson,RESIDENTS,687.26
129,Davidson,VISITORS,10.06
130,Davidson,RESIDENTS,533.76
130,Davidson,VISITORS,12.35
131,Davidson,RESIDENTS,473.56
131,Davidson,VISITORS,5.56
132,Davidson,RESIDENTS,1405.71
132,Davidson,VISITORS,34.56
133,Davidson,RESIDENTS,1350.98
133,Davidson,VISITORS,39.41
134,Davidson,RESIDENTS,502.41
134,Davidson,VISITORS,2.03
135,Davidson,RESIDENTS,4913.81
135,Davidson,VISITORS,457.21
136,Davidson,RESIDENTS,1226.13
136,Davidson,VISITORS,95.29
137,Davidson,RESIDENTS,993.26
137,Davidson,VISITORS,58.15
138,Davidson,RESIDENTS,2375.28
138,Davidson,VISITORS,256.01
139,Davidson,RESIDENTS,3635.24
139,Davidson,VISITORS,220.92
140,Davidson,RESIDENTS,1842.07
140,Davidson,VISITORS,111.92
141,Davidson,RESIDENTS,1269.25
141,Davidson,VISITORS,40.8
142,Davidson,RESIDENTS,2038.73
142,Davidson,VISITORS,83.33
143,Davidson,RESIDENTS,734.5
143,Davidson,VISITORS,25.37
144,Davidson,RESIDENTS,1515.55
144,Davidson,VISITORS,21.9
145,Davidson,RESIDENTS,554.06
145,Davidson,VISITORS,13.78
146,Davidson,RESIDENTS,218.19
146,Davidson,VISITORS,21.04
147,Davidson,RESIDENTS,1418.36
147,Davidson,VISITORS,22.53
148,Davidson,RESIDENTS,218.92
148,Davidson,VISITORS,0.53
149,Davidson,RESIDENTS,1638.11
149,Davidson,VISITORS,4.83
150,Davidson,RESIDENTS,3358.26
150,Davidson,VISITORS,79.28
151,Davidson,RESIDENTS,664.1
151,Davidson,VISITORS,6.76
152,Davidson,RESIDENTS,1315.64
152,Davidson,VISITORS,128.73
153,Davidson,RESIDENTS,3227.75
153,Davidson,VISITORS,184.8
154,Davidson,RESIDENTS,512.15
154,Davidson,VISITORS,26.02
155,Davidson,RESIDENTS,4676.62
155,Davidson,VISITORS,153.55
156,Davidson,RESIDENTS,1759.72
156,Davidson,VISITORS,91.35
157,Davidson,RESIDENTS,1406.77
157,Davidson,VISITORS,35.03
158,Davidson,RESIDENTS,2012.01
158,Davidson,VISITORS,224.35
159,Davidson,RESIDENTS,2521.1
159,Davidson,VISITORS,44.99
160,Davidson,RESIDENTS,3830.37
160,Davidson,VISITORS,81.32
161,Davidson,RESIDENTS,5776.11
161,Davidson,VISITORS,172.68
162,Davidson,RESIDENTS,1484.21
162,Davidson,VISITORS,26.07
163,Davidson,RESIDENTS,4732.5
163,Davidson,VISITORS,134.07
164,Davidson,RESIDENTS,1189.25
164,Davidson,VISITORS,252.82
165,Davidson,RESIDENTS,2180.97
165,Davidson,VISITORS,106.94
166,Davidson,RESIDENTS,6299.81
166,Davidson,VISITORS,259.02
167,Davidson,RESIDENTS,1134.07
167,Davidson,VISITORS,36.95
168,Davidson,RESIDENTS,505.02
168,Davidson,VISITORS,12.78
169,Davidson,RESIDENTS,2088.28
169,Davidson,VISITORS,304.66
170,Davidson,RESIDENTS,5557.27
170,Davidson,VISITORS,736.32
171,Davidson,RESIDENTS,3459.59
171,Davidson,VISITORS,234.52
172,Davidson,RESIDENTS,2677.06
172,Davidson,VISITORS,123.65
173,Davidson,RESIDENTS,8969.64
173,Davidson,VISITORS,500.87
174,Davidson,RESIDENTS,1782.99
174,Davidson,VISITORS,78.94
175,Davidson,RESIDENTS,2268.93
175,Davidson,VISITORS,72
176,Davidson,RESIDENTS,3445.63
176,Davidson,VISITORS,141.6
177,Davidson,RESIDENTS,1912.19
177,Davidson,VISITORS,162.96
178,Davidson,RESIDENTS,1012.95
178,Davidson,VISITORS,85.52
179,Davidson,RESIDENTS,3521.97
179,Davidson,VISITORS,160.1
180,Davidson,RESIDENTS,4087.31
180,Davidson,VISITORS,164.94
181,Davidson,RESIDENTS,2368.5
181,Davidson,VISITORS,156.19
182,Davidson,RESIDENTS,764.97
182,Davidson,VISITORS,22.48
183,Davidson,RESIDENTS,1526.33
183,Davidson,VISITORS,113.52
184,Davidson,RESIDENTS,113.24
184,Davidson,VISITORS,30.82
185,Davidson,RESIDENTS,4931
185,Davidson,VISITORS,257.26
186,Davidson,RESIDENTS,568.5
186,Davidson,VISITORS,12.28
187,Davidson,RESIDENTS,571.07
187,Davidson,VISITORS,15.69
188,Davidson,RESIDENTS,3032.28
188,Davidson,VISITORS,364.8
189,Davidson,RESIDENTS,4558.43
189,Davidson,VISITORS,325.71
190,Davidson,RESIDENTS,1536.82
190,Davidson,VISITORS,117.55
191,Davidson,RESIDENTS,2698.57
191,Davidson,VISITORS,117.36
192,Davidson,RESIDENTS,2234.47
192,Davidson,VISITORS,86.42
193,Davidson,RESIDENTS,1150.74
193,Davidson,VISITORS,91.18
194,Davidson,RESIDENTS,1598.52
194,Davidson,VISITORS,105.69
195,Davidson,RESIDENTS,939.13
195,Davidson,VISITORS,43.58
196,Davidson,RESIDENTS,3680.92
196,Davidson,VISITORS,276.26
197,Davidson,RESIDENTS,2705.37
197,Davidson,VISITORS,228.96
198,Davidson,RESIDENTS,3159.27
198,Davidson,VISITORS,204.53
199,Davidson,RESIDENTS,3249.61
199,Davidson,VISITORS,198.26
200,Davidson,RESIDENTS,2250.92
200,Davidson,VISITORS,219.95
201,Davidson,RESIDENTS,1203.24
201,Davidson,VISITORS,17.13
202,Davidson,RESIDENTS,1337.02
202,Davidson,VISITORS,80.41
203,Davidson,RESIDENTS,3245.46
203,Davidson,VISITORS,150.56
204,Davidson,RESIDENTS,2415.4
204,Davidson,VISITORS,112.17
205,Davidson,RESIDENTS,1157.06
205,Davidson,VISITORS,33.18
206,Davidson,RESIDENTS,1982.35
206,Davidson,VISITORS,131.45
207,Davidson,RESIDENTS,2471.82
207,Davidson,VISITORS,80.21
208,Davidson,RESIDENTS,4371.77
208,Davidson,VISITORS,135.25
209,Davidson,RESIDENTS,1573.72
209,Davidson,VISITORS,248.86
210,Davidson,RESIDENTS,392.72
210,Davidson,VISITORS,22.21
211,Davidson,RESIDENTS,395.57
211,Davidson,VISITORS,4.51
212,Davidson,RESIDENTS,1722.61
212,Davidson,VISITORS,123.26
213,Davidson,RESIDENTS,1006.57
213,Davidson,VISITORS,128.1
214,Davidson,RESIDENTS,1818.5
214,Davidson,VISITORS,12.38
215,Davidson,RESIDENTS,1995.84
215,Davidson,VISITORS,105.69
216,Davidson,RESIDENTS,1079.43
216,Davidson,VISITORS,21.35
217,Davidson,RESIDENTS,2881.28
217,Davidson,VISITORS,142.02
218,Davidson,RESIDENTS,4075.72
218,Davidson,VISITORS,173.85
219,Davidson,RESIDENTS,4304.93
219,Davidson,VISITORS,194.02
220,Davidson,RESIDENTS,1671.34
220,Davidson,VISITORS,149.84
221,Davidson,RESIDENTS,1166.68
221,Davidson,VISITORS,59.32
222,Davidson,RESIDENTS,1276.86
222,Davidson,VISITORS,45.35
223,Davidson,RESIDENTS,1468.05
223,Davidson,VISITORS,26.88
224,Davidson,RESIDENTS,235.12
224,Davidson,VISITORS,1.63
225,Davidson,RESIDENTS,4571.81
225,Davidson,VISITORS,141.45
226,Davidson,RESIDENTS,11257.54
226,Davidson,VISITORS,575.09
227,Davidson,RESIDENTS,268.42
227,Davidson,VISITORS,45.57
228,Davidson,RESIDENTS,659.78
228,Davidson,VISITORS,72.24
229,Davidson,RESIDENTS,1466.06
229,Davidson,VISITORS,56.23
230,Davidson,RESIDENTS,3553.05
230,Davidson,VISITORS,326.09
231,Davidson,RESIDENTS,4114.38
231,Davidson,VISITORS,341.03
232,Davidson,RESIDENTS,2920.15
232,Davidson,VISITORS,308.11
233,Davidson,RESIDENTS,6113.09
233,Davidson,VISITORS,329.76
234,Davidson,RESIDENTS,1471.94
234,Davidson,VISITORS,119.93
235,Davidson,RESIDENTS,1462.26
235,Davidson,VISITORS,43.77
236,Davidson,RESIDENTS,456.39
236,Davidson,VISITORS,8.64
237,Davidson,RESIDENTS,3603.95
237,Davidson,VISITORS,180.18
238,Davidson,RESIDENTS,231.79
238,Davidson,VISITORS,20.71
239,Davidson,RESIDENTS,2450.2
239,Davidson,VISITORS,112.89
240,Davidson,RESIDENTS,4250.25
240,Davidson,VISITORS,227.24
241,Davidson,RESIDENTS,4856.27
241,Davidson,VISITORS,310.62
242,Davidson,RESIDENTS,1936.28
242,Davidson,VISITORS,105.33
243,Davidson,RESIDENTS,2304.64
243,Davidson,VISITORS,120.79
244,Davidson,RESIDENTS,3676.77
244,Davidson,VISITORS,268.74
245,Davidson,RESIDENTS,4723.71
245,Davidson,VISITORS,240.18
246,Davidson,RESIDENTS,5890.79
246,Davidson,VISITORS,262.78
247,Davidson,RESIDENTS,75.45
247,Davidson,VISITORS,0
248,Davidson,RESIDENTS,1264.08
248,Davidson,VISITORS,112.3
249,Davidson,RESIDENTS,1919.86
249,Davidson,VISITORS,126.72
250,Davidson,RESIDENTS,1908.33
250,Davidson,VISITORS,133.28
251,Davidson,RESIDENTS,2780.26
251,Davidson,VISITORS,221.59
252,Davidson,RESIDENTS,2959.8
252,Davidson,VISITORS,244.43
253,Davidson,RESIDENTS,156.17
253,Davidson,VISITORS,61.16
254,Davidson,RESIDENTS,819.29
254,Davidson,VISITORS,2.31
255,Davidson,RESIDENTS,1114.39
255,Davidson,VISITORS,15.87
256,Davidson,RESIDENTS,19428.52
256,Davidson,VISITORS,1284.94
257,Davidson,RESIDENTS,1114.8
257,Davidson,VISITORS,42.52
258,Davidson,RESIDENTS,1170.71
258,Davidson,VISITORS,30.87
259,Davidson,RESIDENTS,4953.48
259,Davidson,VISITORS,189.92
260,Davidson,RESIDENTS,305.31
260,Davidson,VISITORS,36.32
261,Davidson,RESIDENTS,1862.5
261,Davidson,VISITORS,165.32
262,Davidson,RESIDENTS,1019.4
262,Davidson,VISITORS,221.22
263,Davidson,RESIDENTS,4487.28
263,Davidson,VISITORS,283.03
264,Davidson,RESIDENTS,4598.33
264,Davidson,VISITORS,136.42
265,Davidson,RESIDENTS,3298.94
265,Davidson,VISITORS,410.61
266,Davidson,RESIDENTS,3526.03
266,Davidson,VISITORS,464.58
267,Davidson,RESIDENTS,11990.42
267,Davidson,VISITORS,510.1
268,Davidson,RESIDENTS,570.16
268,Davidson,VISITORS,107.78
269,Davidson,RESIDENTS,186.47
269,Davidson,VISITORS,8.7
270,Davidson,RESIDENTS,926.37
270,Davidson,VISITORS,95.23
271,Davidson,RESIDENTS,206.29
271,Davidson,VISITORS,83.53
272,Davidson,RESIDENTS,535.07
272,Davidson,VISITORS,91.24
273,Davidson,RESIDENTS,1903.28
273,Davidson,VISITORS,112.15
274,Davidson,RESIDENTS,1557.93
274,Davidson,VISITORS,373.48
275,Davidson,RESIDENTS,844.95
275,Davidson,VISITORS,131.33
276,Davidson,RESIDENTS,822.45
276,Davidson,VISITORS,166.47
277,Davidson,RESIDENTS,256.88
277,Davidson,VISITORS,61.47
278,Davidson,RESIDENTS,1208.5
278,Davidson,VISITORS,107.55
279,Davidson,RESIDENTS,945.14
279,Davidson,VISITORS,89.42
280,Davidson,RESIDENTS,1569.79
280,Davidson,VISITORS,24.78
281,Davidson,RESIDENTS,544.03
281,Davidson,VISITORS,51.02
282,Davidson,RESIDENTS,2059.24
282,Davidson,VISITORS,31.21
283,Davidson,RESIDENTS,1115.71
283,Davidson,VISITORS,5.92
284,Davidson,RESIDENTS,245.16
284,Davidson,VISITORS,4.24
285,Davidson,RESIDENTS,1275.65
285,Davidson,VISITORS,59.51
286,Davidson,RESIDENTS,1960.37
286,Davidson,VISITORS,87.35
287,Davidson,RESIDENTS,460.59
287,Davidson,VISITORS,15.57
288,Davidson,RESIDENTS,1710.75
288,Davidson,VISITORS,5.43
289,Davidson,RESIDENTS,157.26
289,Davidson,VISITORS,9.17
290,Davidson,RESIDENTS,1773.63
290,Davidson,VISITORS,181.75
291,Davidson,RESIDENTS,2057.63
291,Davidson,VISITORS,147.21
292,Davidson,RESIDENTS,3012.51
292,Davidson,VISITORS,48.93
293,Davidson,RESIDENTS,3856.72
293,Davidson,VISITORS,326.29
294,Davidson,RESIDENTS,394.34
294,Davidson,VISITORS,56.84
295,Davidson,RESIDENTS,3349.63
295,Davidson,VISITORS,179.14
296,Davidson,RESIDENTS,1677.7
296,Davidson,VISITORS,20.53
297,Davidson,RESIDENTS,1577.34
297,Davidson,VISITORS,18.84
298,Davidson,RESIDENTS,781.07
298,Davidson,VISITORS,9.31
299,Davidson,RESIDENTS,277.36
299,Davidson,VISITORS,4.08
300,Davidson,RESIDENTS,201.76
300,Davidson,VISITORS,4.01
301,Davidson,RESIDENTS,933.19
301,Davidson,VISITORS,12.59
302,Davidson,RESIDENTS,135.26
302,Davidson,VISITORS,9.5
303,Davidson,RESIDENTS,34.5
303,Davidson,VISITORS,0
304,Davidson,RESIDENTS,846.35
304,Davidson,VISITORS,9.26
305,Davidson,RESIDENTS,424.79
305,Davidson,VISITORS,9.53
306,Davidson,RESIDENTS,1870.1
306,Davidson,VISITORS,79.98
307,Davidson,RESIDENTS,1959.26
307,Davidson,VISITORS,45.19
308,Davidson,RESIDENTS,3277.53
308,Davidson,VISITORS,151.56
309,Davidson,RESIDENTS,2990.1
309,Davidson,VISITORS,27.03
310,Davidson,RESIDENTS,1620.23
310,Davidson,VISITORS,17.44
311,Davidson,RESIDENTS,804.27
311,Davidson,VISITORS,4.76
312,Davidson,RESIDENTS,4603.69
312,Davidson,VISITORS,206.26
313,Davidson,RESIDENTS,3108.94
313,Davidson,VISITORS,266.91
314,Davidson,RESIDENTS,1703.3
314,Davidson,VISITORS,19.67
315,Davidson,RESIDENTS,6833.22
315,Davidson,VISITORS,567.49
316,Davidson,RESIDENTS,713.57
316,Davidson,VISITORS,20.13
317,Davidson,RESIDENTS,949.33
317,Davidson,VISITORS,32.45
318,Davidson,RESIDENTS,613
318,Davidson,VISITORS,29.02
319,Davidson,RESIDENTS,2751.76
319,Davidson,VISITORS,85.95
320,Davidson,RESIDENTS,6933.88
320,Davidson,VISITORS,252.33
321,Davidson,RESIDENTS,1185
321,Davidson,VISITORS,3.6
322,Davidson,RESIDENTS,783.09
322,Davidson,VISITORS,8.05
323,Davidson,RESIDENTS,7152.07
323,Davidson,VISITORS,254.93
324,Davidson,RESIDENTS,74.88
324,Davidson,VISITORS,0
325,Davidson,RESIDENTS,5052.67
325,Davidson,VISITORS,68.84
326,Davidson,RESIDENTS,1188.23
326,Davidson,VISITORS,26.94
327,Davidson,RESIDENTS,2057.26
327,Davidson,VISITORS,239.11
328,Davidson,RESIDENTS,3095.22
328,Davidson,VISITORS,106.26
329,Davidson,RESIDENTS,1756.98
329,Davidson,VISITORS,109.49
330,Davidson,RESIDENTS,2674.46
330,Davidson,VISITORS,90.05
331,Davidson,RESIDENTS,2040
331,Davidson,VISITORS,45.74
332,Davidson,RESIDENTS,470.02
332,Davidson,VISITORS,19.08
333,Davidson,RESIDENTS,2676.48
333,Davidson,VISITORS,53.28
334,Davidson,RESIDENTS,778.75
334,Davidson,VISITORS,13.98
335,Davidson,RESIDENTS,1577.25
335,Davidson,VISITORS,32
336,Davidson,RESIDENTS,3256.6
336,Davidson,VISITORS,123.56
337,Davidson,RESIDENTS,2061.23
337,Davidson,VISITORS,48.1
338,Davidson,RESIDENTS,2112.97
338,Davidson,VISITORS,24.85
339,Davidson,RESIDENTS,1999.38
339,Davidson,VISITORS,58.39
340,Davidson,RESIDENTS,1831.39
340,Davidson,VISITORS,130.56
341,Davidson,RESIDENTS,2010.77
341,Davidson,VISITORS,22.45
342,Davidson,RESIDENTS,3365.49
342,Davidson,VISITORS,58.1
343,Davidson,RESIDENTS,465.51
343,Davidson,VISITORS,3.43
344,Davidson,RESIDENTS,1634.2
344,Davidson,VISITORS,6.75
345,Davidson,RESIDENTS,1539.09
345,Davidson,VISITORS,13.82
346,Davidson,RESIDENTS,391.97
346,Davidson,VISITORS,7.65
347,Davidson,RESIDENTS,1052.33
347,Davidson,VISITORS,10.13
348,Davidson,RESIDENTS,107.98
348,Davidson,VISITORS,6.49
349,Davidson,RESIDENTS,1796.98
349,Davidson,VISITORS,21.06
350,Davidson,RESIDENTS,197.31
350,Davidson,VISITORS,0.47
351,Davidson,RESIDENTS,1108.81
351,Davidson,VISITORS,10.42
352,Davidson,RESIDENTS,1791.01
352,Davidson,VISITORS,10.2
353,Davidson,RESIDENTS,1661.85
353,Davidson,VISITORS,20.77
354,Davidson,RESIDENTS,662.73
354,Davidson,VISITORS,9.39
355,Davidson,RESIDENTS,454.08
355,Davidson,VISITORS,8.37
356,Davidson,RESIDENTS,2316.77
356,Davidson,VISITORS,59.15
357,Davidson,RESIDENTS,814.35
357,Davidson,VISITORS,7.42
358,Davidson,RESIDENTS,2008.75
358,Davidson,VISITORS,133.74
359,Davidson,RESIDENTS,962.92
359,Davidson,VISITORS,2.83
360,Davidson,RESIDENTS,618.52
