ZONE,COUNTY,RESIDENCY,QUANTITY
380,Davidson,VISITORS,112.26
381,Davidson,RESIDENTS,3252.41
381,Davidson,VISITORS,53.11
382,Davidson,RESIDENTS,1475.27
382,Davidson,VISITORS,16.44
383,Davidson,RESIDENTS,1363.73
383,Davidson,VISITORS,3.01
384,Davidson,RESIDENTS,806.39
384,Davidson,VISITORS,8.45
385,Davidson,RESIDENTS,1101.97
385,Davidson,VISITORS,2.51
386,Davidson,RESIDENTS,3454.65
386,Davidson,VISITORS,172.07
387,Davidson,RESIDENTS,2264.36
387,Davidson,VISITORS,17.59
388,Davidson,RESIDENTS,2641.12
388,Davidson,VISITORS,13.07
389,Davidson,RESIDENTS,3751.79
389,Davidson,VISITORS,60.51
390,Davidson,RESIDENTS,5727.99
390,Davidson,VISITORS,65.51
391,Davidson,RESIDENTS,5038.61
391,Davidson,VISITORS,35.61
392,Davidson,RESIDENTS,232.01
392,Davidson,VISITORS,15.32
393,Davidson,RESIDENTS,999.19
393,Davidson,VISITORS,36.13
394,Davidson,RESIDENTS,1363.6
394,Davidson,VISITORS,6.43
395,Davidson,RESIDENTS,967.06
395,Davidson,VISITORS,4.69
396,Davidson,RESIDENTS,558.66
396,Davidson,VISITORS,9.04
397,Davidson,RESIDENTS,861.78
397,Davidson,VISITORS,16.95
398,Davidson,RESIDENTS,341.29
398,Davidson,VISITORS,1.9
399,Davidson,RESIDENTS,1847.12
399,Davidson,VISITORS,62.64
400,Davidson,RESIDENTS,3785.77
400,Davidson,VISITORS,41.94
401,Davidson,RESIDENTS,768.91
401,Davidson,VISITORS,12.06
402,Davidson,RESIDENTS,2652.85
402,Davidson,VISITORS,40.53
403,Davidson,RESIDENTS,1413.85
403,Davidson,VISITORS,9.69
404,Davidson,RESIDENTS,964.18
404,Davidson,VISITORS,6.68
405,Davidson,RESIDENTS,434.49
405,Davidson,VISITORS,16.4
406,Davidson,RESIDENTS,379.46
406,Davidson,VISITORS,1.44
407,Davidson,RESIDENTS,444.46
407,Davidson,VISITORS,16.81
408,Davidson,RESIDENTS,313.31
408,Davidson,VISITORS,19.6
409,Davidson,RESIDENTS,274.01
409,Davidson,VISITORS,2.12
410,Davidson,RESIDENTS,585.23
410,Davidson,VISITORS,6.65
411,Davidson,RESIDENTS,1951.79
411,Davidson,VISITORS,71.6
412,Davidson,RESIDENTS,2240.28
412,Davidson,VISITORS,56.78
413,Davidson,RESIDENTS,1296.24
413,Davidson,VISITORS,54.55
414,Davidson,RESIDENTS,2975.19
414,Davidson,VISITORS,73.51
415,Davidson,RESIDENTS,4018.63
415,Davidson,VISITORS,332.78
416,Davidson,RESIDENTS,7156.62
416,Davidson,VISITORS,168.65
417,Davidson,RESIDENTS,1934.9
417,Davidson,VISITORS,15.71
418,Davidson,RESIDENTS,2249.26
418,Davidson,VISITORS,23.65
419,Davidson,RESIDENTS,1725.49
419,Davidson,VISITORS,2.09
420,Davidson,RESIDENTS,160.03
420,Davidson,VISITORS,0
421,Davidson,RESIDENTS,2750.99
421,Davidson,VISITORS,45.4
422,Davidson,RESIDENTS,3465.21
422,Davidson,VISITORS,124.02
423,Davidson,RESIDENTS,1995.88
423,Davidson,VISITORS,16.54
424,Davidson,RESIDENTS,2178.86
424,Davidson,VISITORS,37.55
425,Davidson,RESIDENTS,3253.89
425,Davidson,VISITORS,80.69
426,Davidson,RESIDENTS,4550.32
426,Davidson,VISITORS,139.38
427,Davidson,RESIDENTS,386.65
427,Davidson,VISITORS,6.01
428,Davidson,RESIDENTS,1505.1
428,Davidson,VISITORS,8.48
429,Davidson,RESIDENTS,3810.18
429,Davidson,VISITORS,124
430,Davidson,RESIDENTS,1650.91
430,Davidson,VISITORS,16.01
431,Davidson,RESIDENTS,2615.21
431,Davidson,VISITORS,128.43
432,Davidson,RESIDENTS,3130.98
432,Davidson,VISITORS,177.69
433,Davidson,RESIDENTS,2473.68
433,Davidson,VISITORS,16.46
434,Davidson,RESIDENTS,528.79
434,Davidson,VISITORS,6.78
435,Davidson,RESIDENTS,440.09
435,Davidson,VISITORS,5.54
436,Davidson,RESIDENTS,1236.09
436,Davidson,VISITORS,67.69
437,Davidson,RESIDENTS,2958.99
437,Davidson,VISITORS,14.31
438,Davidson,RESIDENTS,1020.63
438,Davidson,VISITORS,14.33
439,Davidson,RESIDENTS,970.13
439,Davidson,VISITORS,16.05
440,Davidson,RESIDENTS,675.97
440,Davidson,VISITORS,6.13
441,Davidson,RESIDENTS,1301.17
441,Davidson,VISITORS,36.77
442,Davidson,RESIDENTS,2003.77
442,Davidson,VISITORS,15.83
443,Davidson,RESIDENTS,561.93
443,Davidson,VISITORS,14.5
444,Davidson,RESIDENTS,1595.36
444,Davidson,VISITORS,14.08
445,Davidson,RESIDENTS,1359.75
445,Davidson,VISITORS,4.22
446,Davidson,RESIDENTS,1116.07
446,Davidson,VISITORS,5
447,Davidson,RESIDENTS,922.61
447,Davidson,VISITORS,0.92
448,Davidson,RESIDENTS,2488.38
448,Davidson,VISITORS,24.1
449,Davidson,RESIDENTS,5610.08
449,Davidson,VISITORS,69.69
450,Davidson,RESIDENTS,671.49
450,Davidson,VISITORS,4.37
451,Davidson,RESIDENTS,446.21
451,Davidson,VISITORS,5.38
452,Davidson,RESIDENTS,2415.52
452,Davidson,VISITORS,30.32
453,Davidson,RESIDENTS,2372.1
453,Davidson,VISITORS,61.94
454,Davidson,RESIDENTS,2823.41
454,Davidson,VISITORS,54
455,Davidson,RESIDENTS,1721.16
455,Davidson,VISITORS,35.08
456,Davidson,RESIDENTS,1412.91
456,Davidson,VISITORS,190.87
457,Davidson,RESIDENTS,1215.68
457,Davidson,VISITORS,12.57
458,Davidson,RESIDENTS,904.08
458,Davidson,VISITORS,8.44
459,Davidson,RESIDENTS,990.74
459,Davidson,VISITORS,10.69
460,Davidson,RESIDENTS,656.05
460,Davidson,VISITORS,8.69
461,Davidson,RESIDENTS,753.04
461,Davidson,VISITORS,9.14
462,Davidson,RESIDENTS,3405.33
462,Davidson,VISITORS,159.36
463,Davidson,RESIDENTS,167.96
463,Davidson,VISITORS,9.42
464,Davidson,RESIDENTS,1147
464,Davidson,VISITORS,11.19
465,Davidson,RESIDENTS,912.54
465,Davidson,VISITORS,16.22
466,Davidson,RESIDENTS,1926.27
466,Davidson,VISITORS,41.65
467,Davidson,RESIDENTS,219.81
467,Davidson,VISITORS,10.72
468,Davidson,RESIDENTS,1645.21
468,Davidson,VISITORS,22.35
469,Davidson,RESIDENTS,2120.06
469,Davidson,VISITORS,93.88
470,Davidson,RESIDENTS,1805.4
470,Davidson,VISITORS,29.85
471,Davidson,RESIDENTS,1099.33
471,Davidson,VISITORS,5.8
472,Davidson,RESIDENTS,369.42
472,Davidson,VISITORS,0.38
473,Davidson,RESIDENTS,1653.24
473,Davidson,VISITORS,19.09
474,Davidson,RESIDENTS,294.29
474,Davidson,VISITORS,11.91
475,Davidson,RESIDENTS,2294.3
475,Davidson,VISITORS,48.24
476,Davidson,RESIDENTS,500.1
476,Davidson,VISITORS,7.91
477,Davidson,RESIDENTS,776.5
477,Davidson,VISITORS,4.18
478,Davidson,RESIDENTS,2067.49
478,Davidson,VISITORS,11.85
479,Davidson,RESIDENTS,1888.56
479,Davidson,VISITORS,15.84
480,Davidson,RESIDENTS,2536.09
480,Davidson,VISITORS,48.47
481,Davidson,RESIDENTS,2053.18
481,Davidson,VISITORS,22.52
482,Davidson,RESIDENTS,622.27
482,Davidson,VISITORS,6.22
483,Davidson,RESIDENTS,901.91
483,Davidson,VISITORS,17.11
484,Davidson,RESIDENTS,672
484,Davidson,VISITORS,6.04
485,Davidson,RESIDENTS,1447.48
485,Davidson,VISITORS,6.21
486,Davidson,RESIDENTS,1507.18
486,Davidson,VISITORS,20.46
487,Davidson,RESIDENTS,680.6
487,Davidson,VISITORS,11.63
488,Davidson,RESIDENTS,553.23
488,Davidson,VISITORS,6.98
489,Davidson,RESIDENTS,1588.44
489,Davidson,VISITORS,17.92
490,Davidson,RESIDENTS,964.27
490,Davidson,VISITORS,13.18
491,Davidson,RESIDENTS,1341.97
491,Davidson,VISITORS,21.02
492,Davidson,RESIDENTS,908.04
492,Davidson,VISITORS,15.92
493,Davidson,RESIDENTS,428.67
493,Davidson,VISITORS,9.51
494,Davidson,RESIDENTS,1324.99
494,Davidson,VISITORS,22.67
495,Davidson,RESIDENTS,1311.33
495,Davidson,VISITORS,19.52
496,Davidson,RESIDENTS,771.42
496,Davidson,VISITORS,13.18
497,Davidson,RESIDENTS,502.69
497,Davidson,VISITORS,15.28
498,Davidson,RESIDENTS,1855.47
498,Davidson,VISITORS,26.28
499,Davidson,RESIDENTS,3552.7
499,Davidson,VISITORS,88.65
500,Davidson,RESIDENTS,3317.64
500,Davidson,VISITORS,28.21
501,Davidson,RESIDENTS,1346.82
501,Davidson,VISITORS,11.86
502,Davidson,RESIDENTS,2304.19
502,Davidson,VISITORS,47.34
503,Davidson,RESIDENTS,820.06
503,Davidson,VISITORS,6.19
504,Davidson,RESIDENTS,1682.93
504,Davidson,VISITORS,27.78
505,Davidson,RESIDENTS,908.54
505,Davidson,VISITORS,3.72
506,Davidson,RESIDENTS,639.56
506,Davidson,VISITORS,2.87
507,Davidson,RESIDENTS,958.22
507,Davidson,VISITORS,10
508,Davidson,RESIDENTS,1011.66
508,Davidson,VISITORS,3.08
509,Davidson,RESIDENTS,823.52
509,Davidson,VISITORS,24.03
510,Davidson,RESIDENTS,1362.25
510,Davidson,VISITORS,15.84
511,Davidson,RESIDENTS,700.57
511,Davidson,VISITORS,11.95
512,Davidson,RESIDENTS,1640.45
512,Davidson,VISITORS,31.63
513,Davidson,RESIDENTS,624.1
513,Davidson,VISITORS,17.37
514,Davidson,RESIDENTS,2031.01
514,Davidson,VISITORS,31.51
515,Davidson,RESIDENTS,996.76
515,Davidson,VISITORS,2.54
516,Davidson,RESIDENTS,1327.29
516,Davidson,VISITORS,24.08
517,Davidson,RESIDENTS,961.09
517,Davidson,VISITORS,12.19
518,Davidson,RESIDENTS,380.66
518,Davidson,VISITORS,1.91
519,Davidson,RESIDENTS,1696.22
519,Davidson,VISITORS,14.5
520,Davidson,RESIDENTS,1740.58
520,Davidson,VISITORS,19.87
521,Davidson,RESIDENTS,756.26
521,Davidson,VISITORS,20.22
522,Davidson,RESIDENTS,586.01
522,Davidson,VISITORS,26.47
523,Davidson,RESIDENTS,2264.76
523,Davidson,VISITORS,173.02
524,Davidson,RESIDENTS,491.56
524,Davidson,VISITORS,17.77
525,Davidson,RESIDENTS,587.37
525,Davidson,VISITORS,12.85
526,Davidson,RESIDENTS,481.52
526,Davidson,VISITORS,15.14
527,Davidson,RESIDENTS,720.31
527,Davidson,VISITORS,13.31
528,Davidson,RESIDENTS,689.56
528,Davidson,VISITORS,9.67
529,Davidson,RESIDENTS,745.82
529,Davidson,VISITORS,6.57
530,Davidson,RESIDENTS,367.01
530,Davidson,VISITORS,20.65
531,Davidson,RESIDENTS,297.47
531,Davidson,VISITORS,5.08
532,Davidson,RESIDENTS,2993.34
532,Davidson,VISITORS,25.65
533,Davidson,RESIDENTS,1591.72
533,Davidson,VISITORS,59.12
534,Davidson,RESIDENTS,624.63
534,Davidson,VISITORS,6.9
535,Davidson,RESIDENTS,493.44
535,Davidson,VISITORS,4.47
536,Davidson,RESIDENTS,608.79
536,Davidson,VISITORS,50.08
537,Davidson,RESIDENTS,548.79
537,Davidson,VISITORS,13.42
538,Davidson,RESIDENTS,350.42
538,Davidson,VISITORS,2.5
539,Davidson,RESIDENTS,1934.09
539,Davidson,VISITORS,18.21
540,Davidson,RESIDENTS,4112.98
540,Davidson,VISITORS,229.51
541,Davidson,RESIDENTS,1615.67
541,Davidson,VISITORS,17.55
542,Davidson,RESIDENTS,115.38
542,Davidson,VISITORS,9.36
543,Davidson,RESIDENTS,6937.84
543,Davidson,VISITORS,217.54
544,Davidson,RESIDENTS,933.29
544,Davidson,VISITORS,6.22
545,Davidson,RESIDENTS,1862.5
545,Davidson,VISITORS,20.66
546,Davidson,RESIDENTS,2124.63
546,Davidson,VISITORS,27.17
547,Davidson,RESIDENTS,1327.62
547,Davidson,VISITORS,67.08
548,Davidson,RESIDENTS,740.51
548,Davidson,VISITORS,13.08
549,Davidson,RESIDENTS,888.98
549,Davidson,VISITORS,12.46
550,Davidson,RESIDENTS,973.19
550,Davidson,VISITORS,100.81
551,Davidson,RESIDENTS,4639.58
551,Davidson,VISITORS,152.09
552,Davidson,RESIDENTS,2872.74
552,Davidson,VISITORS,41.55
553,Davidson,RESIDENTS,1834.21
553,Davidson,VISITORS,15.94
554,Davidson,RESIDENTS,2446.26
554,Davidson,VISITORS,40.87
555,Davidson,RESIDENTS,711.42
555,Davidson,VISITORS,61.75
556,Davidson,RESIDENTS,1783.18
556,Davidson,VISITORS,36.62
557,Davidson,RESIDENTS,5741.31
557,Davidson,VISITORS,235.74
558,Davidson,RESIDENTS,2314.76
558,Davidson,VISITORS,23.12
559,Davidson,RESIDENTS,395.19
559,Davidson,VISITORS,3.08
560,Davidson,RESIDENTS,231.62
560,Davidson,VISITORS,3.44
561,Davidson,RESIDENTS,1040.27
561,Davidson,VISITORS,0.39
562,Davidson,RESIDENTS,3778.54
562,Davidson,VISITORS,131.74
563,Davidson,RESIDENTS,2450.93
563,Davidson,VISITORS,92.78
564,Davidson,RESIDENTS,797.48
564,Davidson,VISITORS,46.38
565,Davidson,RESIDENTS,1761.23
565,Davidson,VISITORS,9.59
566,Davidson,RESIDENTS,1146.9
566,Davidson,VISITORS,43.97
567,Davidson,RESIDENTS,550.54
567,Davidson,VISITORS,126.39
568,Davidson,RESIDENTS,765.93
568,Davidson,VISITORS,86.58
569,Davidson,RESIDENTS,1014.22
569,Davidson,VISITORS,221.97
570,Davidson,RESIDENTS,182.13
570,Davidson,VISITORS,7.85
571,Davidson,RESIDENTS,3016.74
571,Davidson,VISITORS,918.5
572,Davidson,RESIDENTS,2560.28
572,Davidson,VISITORS,417.02
573,Davidson,RESIDENTS,1156.56
573,Davidson,VISITORS,150.19
574,Davidson,RESIDENTS,742.16
574,Davidson,VISITORS,146.99
575,Davidson,RESIDENTS,1854.62
575,Davidson,VISITORS,222.38
576,Davidson,RESIDENTS,3093.51
576,Davidson,VISITORS,364.41
577,Davidson,RESIDENTS,922.09
577,Davidson,VISITORS,115.65
578,Davidson,RESIDENTS,375.79
578,Davidson,VISITORS,69.9
579,Davidson,RESIDENTS,1056.78
579,Davidson,VISITORS,175.07
580,Davidson,RESIDENTS,1430.19
580,Davidson,VISITORS,17.91
581,Davidson,RESIDENTS,1178.04
581,Davidson,VISITORS,136.44
582,Davidson,RESIDENTS,209.95
582,Davidson,VISITORS,2.52
583,Davidson,RESIDENTS,1484.6
583,Davidson,VISITORS,66.92
584,Davidson,RESIDENTS,370.43
584,Davidson,VISITORS,33.56
585,Davidson,RESIDENTS,255.44
585,Davidson,VISITORS,7.96
586,Davidson,RESIDENTS,860.06
586,Davidson,VISITORS,39.71
587,Davidson,RESIDENTS,1359.88
587,Davidson,VISITORS,66.23
588,Davidson,RESIDENTS,522.8
588,Davidson,VISITORS,18.96
589,Davidson,RESIDENTS,1259.48
589,Davidson,VISITORS,76.64
590,Davidson,RESIDENTS,626.48
590,Davidson,VISITORS,8.07
591,Davidson,RESIDENTS,522
591,Davidson,VISITORS,70.87
592,Davidson,RESIDENTS,51.89
592,Davidson,VISITORS,0
593,Davidson,RESIDENTS,963.71
593,Davidson,VISITORS,34.84
594,Davidson,RESIDENTS,2293.3
594,Davidson,VISITORS,93.79
595,Davidson,RESIDENTS,268.33
595,Davidson,VISITORS,22.05
596,Davidson,RESIDENTS,2399.15
596,Davidson,VISITORS,170.27
597,Davidson,RESIDENTS,1315.1
597,Davidson,VISITORS,100.25
598,Davidson,RESIDENTS,800.01
598,Davidson,VISITORS,102.11
599,Davidson,RESIDENTS,660.22
599,Davidson,VISITORS,65.45
600,Davidson,RESIDENTS,788.61
600,Davidson,VISITORS,126.31
601,Davidson,RESIDENTS,849.61
601,Davidson,VISITORS,48.22
602,Davidson,RESIDENTS,2810.53
602,Davidson,VISITORS,314.47
603,Davidson,RESIDENTS,754.7
603,Davidson,VISITORS,14.88
604,Davidson,RESIDENTS,925.43
604,Davidson,VISITORS,5.15
605,Davidson,RESIDENTS,1594.35
605,Davidson,VISITORS,185.55
606,Davidson,RESIDENTS,2262.11
606,Davidson,VISITORS,42.2
607,Davidson,RESIDENTS,1067.78
607,Davidson,VISITORS,9.31
608,Davidson,RESIDENTS,1500.02
608,Davidson,VISITORS,118.58
609,Davidson,RESIDENTS,1151.11
609,Davidson,VISITORS,7.32
610,Davidson,RESIDENTS,1923.21
610,Davidson,VISITORS,35.85
611,Davidson,RESIDENTS,470.03
611,Davidson,VISITORS,5.92
612,Davidson,RESIDENTS,1718.57
612,Davidson,VISITORS,176.74
613,Davidson,RESIDENTS,1227.69
613,Davidson,VISITORS,47.89
614,Davidson,RESIDENTS,181.33
614,Davidson,VISITORS,7.67
615,Davidson,RESIDENTS,992.48
615,Davidson,VISITORS,45.54
616,Davidson,RESIDENTS,1434.58
616,Davidson,VISITORS,87.78
617,Davidson,RESIDENTS,1004.32
617,Davidson,VISITORS,87.15
618,Davidson,RESIDENTS,646.01
618,Davidson,VISITORS,1.92
619,Davidson,RESIDENTS,193.88
619,Davidson,VISITORS,20.6
620,Davidson,RESIDENTS,65.16
620,Davidson,VISITORS,9.61
621,Davidson,RESIDENTS,2473.68
621,Davidson,VISITORS,23.28
622,Davidson,RESIDENTS,1013.51
622,Davidson,VISITORS,18.8
623,Davidson,RESIDENTS,1108.29
623,Davidson,VISITORS,59.35
624,Davidson,RESIDENTS,2050.63
624,Davidson,VISITORS,53.7
625,Davidson,RESIDENTS,709.64
625,Davidson,VISITORS,40.1
626,Davidson,RESIDENTS,3417.27
626,Davidson,VISITORS,49.56
627,Davidson,RESIDENTS,950.81
627,Davidson,VISITORS,12.95
628,Davidson,RESIDENTS,2171.9
628,Davidson,VISITORS,48.56
629,Davidson,RESIDENTS,1662.53
629,Davidson,VISITORS,20.57
630,Davidson,RESIDENTS,1739.95
630,Davidson,VISITORS,34.61
631,Davidson,RESIDENTS,385.29
631,Davidson,VISITORS,0.53
632,Davidson,RESIDENTS,2287.92
632,Davidson,VISITORS,101.67
633,Davidson,RESIDENTS,146.83
633,Davidson,VISITORS,6.12
634,Davidson,RESIDENTS,4593.37
634,Davidson,VISITORS,67.34
635,Davidson,RESIDENTS,4778.05
635,Davidson,VISITORS,124.94
636,Davidson,RESIDENTS,4914.76
636,Davidson,VISITORS,435.35
637,Davidson,RESIDENTS,1598.49
637,Davidson,VISITORS,30.4
638,Davidson,RESIDENTS,1833.75
638,Davidson,VISITORS,139.22
639,Davidson,RESIDENTS,4272.23
639,Davidson,VISITORS,322.85
640,Davidson,RESIDENTS,5170.2
640,Davidson,VISITORS,619.45
641,Davidson,RESIDENTS,716.5
641,Davidson,VISITORS,59.06
642,Davidson,RESIDENTS,5185.6
642,Davidson,VISITORS,359.74
643,Davidson,RESIDENTS,1169.04
643,Davidson,VISITORS,10.88
644,Davidson,RESIDENTS,2410.26
644,Davidson,VISITORS,51.09
645,Davidson,RESIDENTS,1531.37
645,Davidson,VISITORS,42.58
646,Davidson,RESIDENTS,2407.12
646,Davidson,VISITORS,12.67
647,Davidson,RESIDENTS,8209.63
647,Davidson,VISITORS,817.9
648,Davidson,RESIDENTS,1659.76
648,Davidson,VISITORS,26.87
649,Davidson,RESIDENTS,2687.63
649,Davidson,VISITORS,65.02
650,Davidson,RESIDENTS,2296.05
650,Davidson,VISITORS,73.39
651,Davidson,RESIDENTS,2106.33
651,Davidson,VISITORS,42.66
652,Davidson,RESIDENTS,1850.45
652,Davidson,VISITORS,27.18
653,Davidson,RESIDENTS,874.36
653,Davidson,VISITORS,18.05
654,Davidson,RESIDENTS,3425.49
654,Davidson,VISITORS,72.9
655,Davidson,RESIDENTS,2095.76
655,Davidson,VISITORS,31.38
656,Davidson,RESIDENTS,3565.67
656,Davidson,VISITORS,36.48
657,Davidson,RESIDENTS,378.19
657,Davidson,VISITORS,8.59
658,Davidson,RESIDENTS,4126.71
658,Davidson,VISITORS,188.82
659,Davidson,RESIDENTS,404.94
659,Davidson,VISITORS,12.42
660,Davidson,RESIDENTS,1330.31
660,Davidson,VISITORS,15.24
661,Davidson,RESIDENTS,398.18
661,Davidson,VISITORS,30.32
662,Davidson,RESIDENTS,1277.42
662,Davidson,VISITORS,23.07
663,Davidson,RESIDENTS,1959.91
663,Davidson,VISITORS,32.38
664,Davidson,RESIDENTS,359.57
664,Davidson,VISITORS,2.12
665,Davidson,RESIDENTS,948.3
665,Davidson,VISITORS,1.06
666,Davidson,RESIDENTS,889.83
666,Davidson,VISITORS,0.9
667,Davidson,RESIDENTS,1614.54
667,Davidson,VISITORS,16.13
668,Davidson,RESIDENTS,614.31
668,Davidson,VISITORS,29.11
669,Davidson,RESIDENTS,1165
669,Davidson,VISITORS,72.63
670,Davidson,RESIDENTS,1542.73
670,Davidson,VISITORS,87.7
671,Davidson,RESIDENTS,3627.19
671,Davidson,VISITORS,208.4
672,Davidson,RESIDENTS,2247.82
672,Davidson,VISITORS,214.78
673,Davidson,RESIDENTS,3837.63
673,Davidson,VISITORS,279.01
674,Davidson,RESIDENTS,2684.49
674,Davidson,VISITORS,329.53
675,Davidson,RESIDENTS,3278.77
675,Davidson,VISITORS,441.58
676,Davidson,RESIDENTS,696.73
676,Davidson,VISITORS,151.55
677,Davidson,RESIDENTS,1901.54
677,Davidson,VISITORS,142.94
678,Davidson,RESIDENTS,3431.6
678,Davidson,VISITORS,323.33
679,Davidson,RESIDENTS,1793.81
679,Davidson,VISITORS,98.33
680,Davidson,RESIDENTS,1422.96
680,Davidson,VISITORS,113.43
681,Davidson,RESIDENTS,1961.57
681,Davidson,VISITORS,212.71
682,Davidson,RESIDENTS,1140.45
682,Davidson,VISITORS,20.9
683,Davidson,RESIDENTS,1499.08
683,Davidson,VISITORS,7.09
684,Davidson,RESIDENTS,1677.14
684,Davidson,VISITORS,6.11
685,Davidson,RESIDENTS,1932.86
685,Davidson,VISITORS,17.63
686,Davidson,RESIDENTS,1208.49
686,Davidson,VISITORS,8.7
687,Davidson,RESIDENTS,2535.18
687,Davidson,VISITORS,31.83
688,Davidson,RESIDENTS,2670.12
688,Davidson,VISITORS,23.42
689,Davidson,RESIDENTS,1391.42
689,Davidson,VISITORS,25.19
690,Davidson,RESIDENTS,3906
690,Davidson,VISITORS,379.24
691,Davidson,RESIDENTS,963.39
691,Davidson,VISITORS,19.46
692,Davidson,RESIDENTS,372.99
692,Davidson,VISITORS,3.14
693,Davidson,RESIDENTS,1607.77
693,Davidson,VISITORS,32.09
694,Davidson,RESIDENTS,2696.49
694,Davidson,VISITORS,222.17
695,Davidson,RESIDENTS,250.37
695,Davidson,VISITORS,33.67
696,Davidson,RESIDENTS,1855.01
696,Davidson,VISITORS,144.71
697,Davidson,RESIDENTS,3214.63
697,Davidson,VISITORS,270.11
698,Davidson,RESIDENTS,4913.9
698,Davidson,VISITORS,313.06
699,Davidson,RESIDENTS,3385.29
699,Davidson,VISITORS,248.66
700,Davidson,RESIDENTS,1758.88
700,Davidson,VISITORS,145.29
701,Davidson,RESIDENTS,3042.51
701,Davidson,VISITORS,487.51
702,Davidson,RESIDENTS,1961.68
702,Davidson,VISITORS,25.34
703,Davidson,RESIDENTS,294.42
703,Davidson,VISITORS,6.02
704,Davidson,RESIDENTS,3268.38
704,Davidson,VISITORS,143.82
705,Davidson,RESIDENTS,676.24
705,Davidson,VISITORS,17.5
706,Davidson,RESIDENTS,5172.08
706,Davidson,VISITORS,82.37
707,Davidson,RESIDENTS,2044.38
707,Davidson,VISITORS,41.75
708,Davidson,RESIDENTS,349.6
708,Davidson,VISITORS,2.12
709,Davidson,RESIDENTS,450.64
709,Davidson,VISITORS,6.65
710,Davidson,RESIDENTS,3237.85
710,Davidson,VISITORS,110.06
711,Davidson,RESIDENTS,2797.61
711,Davidson,VISITORS,22.5
712,Davidson,RESIDENTS,1110.8
712,Davidson,VISITORS,32.99
713,Davidson,RESIDENTS,2542.92
713,Davidson,VISITORS,68.42
714,Davidson,RESIDENTS,895.12
714,Davidson,VISITORS,28.19
715,Davidson,RESIDENTS,1308.7
715,Davidson,VISITORS,47.83
716,Davidson,RESIDENTS,8727.84
716,Davidson,VISITORS,787.28
717,Davidson,RESIDENTS,1183.7
717,Davidson,VISITORS,23.58
718,Davidson,RESIDENTS,579.39
718,Davidson,VISITORS,67.74
719,Davidson,RESIDENTS,1419.84
719,Davidson,VISITORS,64.89
720,Davidson,RESIDENTS,9513.71
720,Davidson,VISITORS,860.37
721,Davidson,RESIDENTS,9421.02
721,Davidson,VISITORS,1068.67
722,Davidson,RESIDENTS,163.59
722,Davidson,VISITORS,1.71
723,Davidson,RESIDENTS,2704.98
723,Davidson,VISITORS,38.27
724,Davidson,RESIDENTS,943.83
724,Davidson,VISITORS,24.68
725,Davidson,RESIDENTS,1195.34
725,Davidson,VISITORS,6.85
726,Davidson,RESIDENTS,4974.77
726,Davidson,VISITORS,41.63
727,Davidson,RESIDENTS,9220.06
727,Davidson,VISITORS,46.67
728,Davidson,RESIDENTS,1991.08
728,Davidson,VISITORS,5.47
729,Davidson,RESIDENTS,5291.02
729,Davidson,VISITORS,149.04
730,Davidson,RESIDENTS,776.02
730,Davidson,VISITORS,6.71
731,Davidson,RESIDENTS,2027.47
731,Davidson,VISITORS,14.69
732,Davidson,RESIDENTS,2729.87
732,Davidson,VISITORS,32.03
733,Davidson,RESIDENTS,944.3
733,Davidson,VISITORS,6.73
734,Davidson,RESIDENTS,7478.45
734,Davidson,VISITORS,81.68
735,Davidson,RESIDENTS,7043.19
735,Davidson,VISITORS,207.09
736,Davidson,RESIDENTS,3735.17
736,Davidson,VISITORS,50.34
737,Davidson,RESIDENTS,1280.54
737,Davidson,VISITORS,18.56
738,Davidson,RESIDENTS,1918.6
738,Davidson,VISITORS,26.46
739,Davidson,RESIDENTS,1361.6
739,Davidson,VISITORS,1.35
740,Davidson,RESIDENTS,2968.99
740,Davidson,VISITORS,81.05
741,Davidson,RESIDENTS,1528.39
741,Davidson,VISITORS,26.83
742,Davidson,RESIDENTS,7633.48
742,Davidson,VISITORS,140.54
743,Davidson,RESIDENTS,2359.01
743,Davidson,VISITORS,12.6
744,Davidson,RESIDENTS,992.73
744,Davidson,VISITORS,19.13
745,Davidson,RESIDENTS,4786.45
745,Davidson,VISITORS,167.24
746,Davidson,RESIDENTS,6590.71
746,Davidson,VISITORS,247.11
747,Davidson,RESIDENTS,3704.44
747,Davidson,VISITORS,19.85
748,Davidson,RESIDENTS,4525.11
748,Davidson,VISITORS,27.52
749,Davidson,RESIDENTS,761.8
749,Davidson,VISITORS,6.33
750,Davidson,RESIDENTS,2374.29
750,Davidson,VISITORS,58.09
751,Davidson,RESIDENTS,5757.9
751,Davidson,VISITORS,720.72
752,Davidson,RESIDENTS,1759.04
752,Davidson,VISITORS,42.68
753,Davidson,RESIDENTS,486.05
753,Davidson,VISITORS,14.13
754,Davidson,RESIDENTS,1362.94
754,Davidson,VISITORS,4.39
755,Davidson,RESIDENTS,675.45
755,Davidson,VISITORS,4.9
756,Davidson,RESIDENTS,1450.75
756,Davidson,VISITORS,47.46
757,Davidson,RESIDENTS,3544.97
757,Davidson,VISITORS,83.13
758,Davidson,RESIDENTS,3765.25
758,Davidson,VISITORS,51.08
759,Davidson,RESIDENTS,4214.74
759,Davidson,VISITORS,62.8
760,Davidson,RESIDENTS,2330.58
760,Davidson,VISITORS,19.89
761,Davidson,RESIDENTS,1266.99
761,Davidson,VISITORS,18.04
762,Davidson,RESIDENTS,2287.07
