GROUP,RESIDENT_OR_VISITOR,COUNT,CHART_TYPE
PARTICIPANT RESPONSE,Resident,193956,RESIDENT_VISITOR
PARTICIPANT RESPONSE,Visitor,8774,RESIDENT_VISITOR
