District_Origin,District_Destination,Visitor_AM,Visitor_MD,Visitor_PM,Visitor_NT
NorthMeck.Mooresville,WestRural,13.477944,30.123833,44.825748,57.469994
NorthMeck.Mooresville,SERural,0.694491,2.735923,2.276031,2.853091
NorthMeck.Mooresville,NWRural,94.339188,459.090454,231.256607,375.235687
NorthMeck.Mooresville,SWRural,2.517994,6.374859,4.228197,11.300533
NorthMeck.Mooresville,NorthRural,81.279106,386.612671,258.339691,330.251099
NorthMeck.Mooresville,Concord.Kannapolis,152.350998,398.090881,295.031067,383.698975
NorthMeck.Mooresville,NorthMeck.Mooresville,2794.626709,11033.29492,4939.996582,7651.541504
NorthMeck.Mooresville,Gastonia,34.464897,58.823132,57.146286,84.69136
NorthMeck.Mooresville,OutsideRoute4,315.258881,845.980713,623.404053,959.719482
NorthMeck.Mooresville,InsideRoute4,77.573013,135.954926,169.201126,239.386505
NorthMeck.Mooresville,RockHill,14.446668,27.402876,20.041027,29.688656
NorthMeck.Mooresville,Monroe,5.015979,10.862107,4.457678,5.900587
NorthMeck.Mooresville,SE_Outer,7.317443,17.899214,20.00935,21.216148
NorthMeck.Mooresville,Statesville,23.116467,86.302498,74.247276,85.320564
NorthMeck.Mooresville,Salisbury,31.372229,70.922508,37.283291,54.546005
NorthMeck.Mooresville,Shelby,0.948111,2.303585,0.937799,1.001188
Gastonia,WestRural,4.557024,11.283138,9.781374,9.488132
Gastonia,SERural,0.504116,0.737371,1.191842,2.551131
Gastonia,NWRural,134.495499,440.012634,256.607208,401.928558
Gastonia,SWRural,78.450874,157.724136,102.762825,163.26683
Gastonia,NorthRural,3.58955,18.331499,7.158227,7.590712
Gastonia,Concord.Kannapolis,12.189466,42.133198,28.697872,45.446453
Gastonia,NorthMeck.Mooresville,54.788898,53.134708,46.327297,88.480698
Gastonia,Gastonia,1663.335449,5877.005371,2993.268555,4267.740723
Gastonia,OutsideRoute4,281.013855,529.926086,505.340088,605.043884
Gastonia,InsideRoute4,135.953461,214.677963,152.98941,258.464172
Gastonia,RockHill,32.69878,83.376144,55.24852,88.025467
Gastonia,Monroe,1.591053,3.638979,2.455882,2.621885
Gastonia,SE_Outer,8.816335,11.060002,10.982562,16.183146
Gastonia,Statesville,1.506176,2.496165,2.257325,3.508455
Gastonia,Salisbury,5.032039,9.003613,8.930477,10.957739
Gastonia,Shelby,16.191774,56.941093,35.63203,69.00174
OutsideRoute4,WestRural,69.882828,198.410385,175.30603,293.886993
OutsideRoute4,SERural,19.003607,32.086079,48.858753,63.760208
OutsideRoute4,NWRural,48.480057,84.727547,108.457489,124.661179
OutsideRoute4,SWRural,27.622404,85.752914,63.745174,86.88726
OutsideRoute4,NorthRural,27.247108,72.696503,51.774418,65.974785
OutsideRoute4,Concord.Kannapolis,268.789581,805.768066,559.348694,980.983826
OutsideRoute4,NorthMeck.Mooresville,303.670349,765.653564,632.126465,1055.235229
OutsideRoute4,Gastonia,211.530075,533.600037,479.947937,577.227112
OutsideRoute4,OutsideRoute4,10770.8916,34210.58203,18587.10547,32405.86133
OutsideRoute4,InsideRoute4,2060.4375,4621.032227,3119.0271,5425.770996
OutsideRoute4,RockHill,494.006287,1204.727051,858.3797,1366.24707
OutsideRoute4,Monroe,68.736198,107.428902,103.174118,171.322418
OutsideRoute4,SE_Outer,286.552795,1038.405396,717.957581,1232.218872
OutsideRoute4,Statesville,5.228522,24.702511,13.23653,15.169521
OutsideRoute4,Salisbury,32.647415,96.931984,69.740044,102.751503
OutsideRoute4,Shelby,7.960427,21.595882,18.302677,19.013285
InsideRoute4,WestRural,23.528658,48.997169,46.221012,83.414291
InsideRoute4,SERural,1.64654,8.063763,6.522795,11.015046
InsideRoute4,NWRural,11.922278,30.397705,50.351891,87.226677
InsideRoute4,SWRural,13.386525,8.279255,13.356209,20.410641
InsideRoute4,NorthRural,5.976291,16.319859,31.012598,29.920938
InsideRoute4,Concord.Kannapolis,72.945641,253.494354,194.337158,359.166046
InsideRoute4,NorthMeck.Mooresville,65.324539,143.609833,132.643372,233.938248
InsideRoute4,Gastonia,74.849266,143.499985,236.554382,223.942749
InsideRoute4,OutsideRoute4,1481.907227,4587.707031,3371.102783,5392.949219
InsideRoute4,InsideRoute4,3126.748535,9186.904297,4804.801758,9682.811523
InsideRoute4,RockHill,52.177673,158.759933,111.272751,212.996902
InsideRoute4,Monroe,6.636243,16.95857,14.136334,20.345381
InsideRoute4,SE_Outer,34.731426,88.925941,110.038742,146.488632
InsideRoute4,Statesville,1.415772,4.286742,4.455097,5.784764
InsideRoute4,Salisbury,10.313368,30.910326,31.585899,42.82687
InsideRoute4,Shelby,2.627001,8.189341,3.909206,7.176186
