District_Origin,District_Destination,Residents_AM,Residents_MD,Residents_PM,Residents_NT
Concord.Kannapolis,Statesville,90.33876,64.741852,47.360764,79.213104
Concord.Kannapolis,Salisbury,2339.685059,3975.664063,3140.194824,5132.39502
Concord.Kannapolis,Shelby,15.183919,11.410766,17.975779,12.734957
NorthMeck.Mooresville,WestRural,377.664642,624.945679,881.333435,720.539673
NorthMeck.Mooresville,SERural,7.204626,23.350689,33.747936,25.816895
NorthMeck.Mooresville,NWRural,4634.506836,8540.119141,5548.115723,6416.71582
NorthMeck.Mooresville,SWRural,10.465798,32.277573,36.261482,53.723309
NorthMeck.Mooresville,NorthRural,3081.832764,7072.514648,6783.241699,8873.40332
NorthMeck.Mooresville,Concord.Kannapolis,4504.387695,8291.756836,7499.847168,7705.771484
NorthMeck.Mooresville,NorthMeck.Mooresville,89446.90625,209418.7656,141651.4531,175484.5156
NorthMeck.Mooresville,Gastonia,1158.566162,2161.604004,2006.634521,2790.818115
NorthMeck.Mooresville,OutsideRoute4,10002.99902,18968.08203,14245.36914,20323.91602
NorthMeck.Mooresville,InsideRoute4,4463.166016,3599.379395,2162.08667,3884.949707
NorthMeck.Mooresville,RockHill,167.100128,283.687439,255.427811,321.238434
NorthMeck.Mooresville,Monroe,52.464748,75.098778,78.240211,87.908478
NorthMeck.Mooresville,SE_Outer,167.431946,331.588959,358.453186,391.026825
NorthMeck.Mooresville,Statesville,1110.146484,1704.347046,1192.088501,1562.985474
NorthMeck.Mooresville,Salisbury,552.098938,806.794067,791.572327,676.304382
NorthMeck.Mooresville,Shelby,13.734973,27.465664,10.728127,14.497946
Gastonia,WestRural,55.956749,100.571091,99.436394,129.291885
Gastonia,SERural,10.627136,16.115601,33.108566,41.547157
Gastonia,NWRural,3821.594238,10852.50195,10630.54492,13467.97559
Gastonia,SWRural,1574.046997,4550.408691,4453.41748,6031.214355
Gastonia,NorthRural,62.797699,92.332901,53.151077,132.793961
Gastonia,Concord.Kannapolis,279.343231,361.430023,327.497711,481.455139
Gastonia,NorthMeck.Mooresville,1363.763184,2270.128418,1983.990112,2492.135254
Gastonia,Gastonia,72669.70313,178748.2969,120522.8281,174281.3594
Gastonia,OutsideRoute4,7887.406738,9065.432617,6212.645508,12384.7793
Gastonia,InsideRoute4,4057.28125,3439.538818,1647.042236,3753.679688
Gastonia,RockHill,732.800903,1375.628418,1334.57019,1641.618774
Gastonia,Monroe,34.297634,44.359509,34.973019,77.501488
Gastonia,SE_Outer,133.610275,173.70787,155.640152,203.883881
Gastonia,Statesville,16.6782,13.073011,19.106466,26.189011
Gastonia,Salisbury,55.44091,82.192642,44.294922,83.783195
Gastonia,Shelby,553.911682,1162.562988,800.057129,999.604187
OutsideRoute4,WestRural,1467.835205,3452.32373,4292.391602,4683.675781
OutsideRoute4,SERural,308.513611,845.664612,1065.799194,1306.662476
OutsideRoute4,NWRural,815.534851,1570.327271,1965.391602,2257.294678
OutsideRoute4,SWRural,486.384552,1439.01355,2249.598145,2774.466309
OutsideRoute4,NorthRural,415.885956,635.021545,749.130066,791.476257
OutsideRoute4,Concord.Kannapolis,7665.819824,16876.29883,15295.76172,19123.17188
OutsideRoute4,NorthMeck.Mooresville,12527.7793,17363.35156,14235.40234,19401.51172
OutsideRoute4,Gastonia,4664.47998,9336.65918,9588.977539,12079.16602
OutsideRoute4,OutsideRoute4,295024.9688,677098,433635.4688,677673.75
OutsideRoute4,InsideRoute4,68473.91406,97320.83594,52362.24219,95739.03906
OutsideRoute4,RockHill,11242.89648,22362.86328,21771.67773,26322.4082
OutsideRoute4,Monroe,1037.771851,2133.592773,1871.925537,2538.484375
OutsideRoute4,SE_Outer,11448.89258,31222.57422,26900.11719,35139.75
OutsideRoute4,Statesville,110.168983,155.508453,133.482056,194.801254
OutsideRoute4,Salisbury,631.7547,890.764587,711.028259,998.560425
OutsideRoute4,Shelby,82.80114,145.24791,119.807671,173.58136
InsideRoute4,WestRural,192.846252,648.46167,1046.636719,1052.804321
InsideRoute4,SERural,40.390652,99.56675,131.569336,219.303574
InsideRoute4,NWRural,181.550232,543.426636,983.855774,899.047119
InsideRoute4,SWRural,77.781921,266.650482,472.140228,417.78009
InsideRoute4,NorthRural,47.906746,137.452805,207.476334,280.000824
InsideRoute4,Concord.Kannapolis,798.374512,2745.122314,3630.66333,3821.251221
InsideRoute4,NorthMeck.Mooresville,1292.951538,3279.582275,4560.711914,5022.936035
InsideRoute4,Gastonia,768.689514,3174.085693,4512.379395,4525.625977
InsideRoute4,OutsideRoute4,32208.53125,93396.64844,79406.75,109276.7031
InsideRoute4,InsideRoute4,61253.87891,164015.9844,88318.90625,140319.7813
InsideRoute4,RockHill,864.051392,2084.27832,3269.890869,3539.500732
InsideRoute4,Monroe,90.480873,280.40152,252.37767,310.021942
InsideRoute4,SE_Outer,708.299622,2176.799805,3201.247803,3231.974121
InsideRoute4,Statesville,13.618514,41.703377,61.837524,51.400566
InsideRoute4,Salisbury,105.442734,238.036896,250.361191,290.267548
InsideRoute4,Shelby,22.757561,69.82193,59.201164,73.626106
RockHill,WestRural,75.727524,111.460075,183.031189,179.170151
RockHill,SERural,766.111267,1573.7229,1485.338745,1979.05896
RockHill,NWRural,74.496437,106.461037,181.566177,181.271561
RockHill,SWRural,3159.230225,6445.066895,6876.453125,8780.958008
RockHill,NorthRural,43.228474,41.324425,32.32909,57.929031
RockHill,Concord.Kannapolis,86.282219,216.131882,241.745331,272.106049
RockHill,NorthMeck.Mooresville,240.871445,255.804565,222.631378,300.197235
RockHill,Gastonia,871.175537,1404.119629,1212.555786,1578.42627
RockHill,OutsideRoute4,16804.20313,23689.72461,16749.15234,24617.23242
RockHill,InsideRoute4,3088.217773,2551.310059,1268.911499,2813.912354
RockHill,RockHill,76402.375,171740.3125,123408.1641,156854.25
RockHill,Monroe,80.608299,185.549927,161.304214,209.072739
RockHill,SE_Outer,929.249939,2088.275635,2060.634277,2213.292725
RockHill,Statesville,5.035374,9.948301,12.049561,16.519157
RockHill,Salisbury,18.274418,45.748959,32.039227,26.475746
RockHill,Shelby,31.23452,21.800785,13.942739,30.384253
Monroe,WestRural,913.039185,2932.26709,3184.973633,4289.762207
Monroe,SERural,1865.935547,5765.713379,5534.092773,7201.806641
Monroe,NWRural,24.09786,15.944615,14.862889,20.19943
Monroe,SWRural,4.957316,4.998502,8.977098,17.958855
Monroe,NorthRural,21.062744,9.822604,11.290462,22.393248
Monroe,Concord.Kannapolis,99.664909,169.780029,201.410797,240.307007
Monroe,NorthMeck.Mooresville,76.603394,64.983528,79.633247,73.487213
Monroe,Gastonia,24.971079,44.785877,49.722057,64.709427
Monroe,OutsideRoute4,1417.175049,2010.128174,1625.965576,2529.996582
Monroe,InsideRoute4,238.692184,214.348984,151.948944,320.564911
Monroe,RockHill,129.118393,134.157898,168.509018,209.291931
Monroe,Monroe,14484.61035,41802.76953,25179.62695,37050.57813
Monroe,SE_Outer,5324.574219,9735.376953,7933.657227,9930.630859
Monroe,Statesville,5.206964,3.637307,2.791893,4.304917
Monroe,Salisbury,11.146955,19.645678,13.454625,25.701605
Monroe,Shelby,2.186014,1.869686,2.211108,1.133667
SE_Outer,WestRural,1187.209106,2755.991211,2926.162598,3699.144775
SE_Outer,SERural,1325.59375,2562.169922,2672.310547,3417.06958
SE_Outer,NWRural,48.772449,49.609364,33.8437,83.737373
SE_Outer,SWRural,21.856712,39.016891,42.4123,57.773018
SE_Outer,NorthRural,41.350792,38.992088,30.662851,59.298573
SE_Outer,Concord.Kannapolis,500.902863,635.898987,607.669434,755.733948
SE_Outer,NorthMeck.Mooresville,279.575043,298.422791,227.437988,437.765839
SE_Outer,Gastonia,112.915131,167.841202,157.673447,234.218735
SE_Outer,OutsideRoute4,20258.9375,34199.60156,21384.11719,28654.95898
SE_Outer,InsideRoute4,3278.812256,2293.943115,1203.04248,2502.345947
SE_Outer,RockHill,1446.174805,2251.29126,1570.55127,1983.796875
SE_Outer,Monroe,5178.719238,10518.19238,8417.780273,8786.493164
SE_Outer,SE_Outer,45046.50781,95327.13281,69238.00781,81021.625
SE_Outer,Statesville,2.561934,12.039933,9.81955,7.572529
SE_Outer,Salisbury,67.737419,82.083763,20.122669,41.33374
SE_Outer,Shelby,8.617348,8.110399,7.595666,9.63436
Statesville,WestRural,15.18113,29.750217,49.715252,81.841011
Statesville,SERural,0.25575,0.91209,0.525305,1.080805
Statesville,NWRural,17.529196,28.480995,47.509079,52.574085
Statesville,SWRural,0.491425,0.700309,3.201029,2.667516
Statesville,NorthRural,4189.358398,10299.71387,9541.491211,12369.26465
Statesville,Concord.Kannapolis,23.156038,64.287178,102.480949,93.468727
Statesville,NorthMeck.Mooresville,782.608643,1591.774292,1625.023804,1588.821899
Statesville,Gastonia,7.565766,18.586094,22.157196,25.93482
Statesville,OutsideRoute4,99.905243,176.696747,143.080338,173.227249
Statesville,InsideRoute4,35.685555,44.785389,18.94463,71.940498
Statesville,RockHill,10.778818,9.152045,13.142209,10.381951
Statesville,Monroe,2.039979,3.061126,4.128351,7.123338
Statesville,SE_Outer,7.149729,8.24608,6.784832,8.055218
Statesville,Statesville,12637.28516,34791.99219,21310.02148,29586.32813
