District_Origin,District_Destination,Residents_AM,Residents_MD,Residents_PM,Residents_NT,Visitor_AM,Visitor_MD,Visitor_PM,Visitor_NT,Residents_Daily,Visitors_Daily,Daily
NWRural,Statesville,26.390869,45.392822,25.256884,51.597809,4.836014,6.153407,4.073186,5.666543,148.638382,20.729149,169.367538
NWRural,Salisbury,16.724403,21.723904,17.937637,18.121552,1.03478,2.798919,3.573262,5.810066,74.507492,13.217028,87.724518
NWRural,Shelby,5827.844238,7934.400879,5269.068848,6427.070801,197.760223,481.486725,267.749176,355.2164,25458.38477,1302.212524,26760.59766
SWRural,WestRural,6.394713,16.336071,8.463914,25.098087,1.429327,2.278348,0.833121,0.889435,56.292786,5.430231,61.723019
SWRural,SERural,18.315794,23.48661,20.363415,36.076271,0.347728,1.316066,0.822107,1.452693,98.242088,3.938594,102.180679
SWRural,NWRural,286.068268,360.125916,336.61676,560.094482,8.143315,25.12571,30.037682,25.670177,1542.905396,88.976883,1631.882324
SWRural,SWRural,15955.09668,33506.55859,24443.71289,33305.36719,315.877075,1186.608154,627.55426,1062.106201,107210.7344,3192.145752,110402.8828
SWRural,NorthRural,11.591352,20.222532,4.993616,12.135609,0.269869,25.763994,4.570154,1.228484,48.943111,31.832502,80.775612
SWRural,Concord.Kannapolis,38.921024,23.71246,26.096354,50.177666,0.709175,2.752686,3.174282,6.540982,138.907501,13.177125,152.084625
SWRural,NorthMeck.Mooresville,34.944614,38.126266,18.346394,41.059509,5.722136,7.808392,3.124061,8.018373,132.476791,24.672962,157.14975
SWRural,Gastonia,3275.64502,5361.408203,3184.286621,4751.271484,51.43869,183.155304,115.736572,188.350098,16572.61133,538.680664,17111.29297
SWRural,OutsideRoute4,2024.578003,1602.255737,1107.501831,2205.960938,42.951534,75.312866,58.195057,96.714333,6940.296387,273.173798,7213.470215
SWRural,InsideRoute4,444.599091,253.438705,121.371529,405.438019,4.996477,13.141489,11.621313,35.178722,1224.847412,64.937996,1289.7854
SWRural,RockHill,4712.684082,7257.28418,5857.825195,7400.790039,127.562576,315.944031,182.377548,340.295898,25228.58398,966.180054,26194.76367
SWRural,Monroe,10.229951,7.766465,7.553748,13.001622,0.211878,0.309915,0.500928,0.534787,38.551788,1.557508,40.109295
SWRural,SE_Outer,38.797985,49.055096,25.751978,47.366951,5.301578,4.286303,3.213179,2.657082,160.972,15.458142,176.430145
SWRural,Statesville,0.618277,0.88108,2.365228,3.59703,0.097002,0.141885,0.229334,0.244836,7.461615,0.713057,8.174672
SWRural,Salisbury,5.734377,8.522737,6.42964,5.423532,0.407724,0.596378,0.96395,2.366409,26.110285,4.334461,30.444746
SWRural,Shelby,30.289541,55.439251,46.887276,49.194824,5.320669,3.981149,2.683833,3.650048,181.810898,15.635699,197.446594
NorthRural,WestRural,923.459229,1207.272949,1285.320923,1528.910156,50.622154,98.828873,51.368866,89.981041,4944.963379,290.800934,5235.76416
NorthRural,SERural,2.760642,4.48111,7.313244,5.761345,0.43312,0.633525,1.023991,1.093207,20.316341,3.183843,23.500183
NorthRural,NWRural,94.525627,104.522263,121.472374,136.896744,4.061274,11.256551,10.334969,11.964027,457.417023,37.616821,495.033844
NorthRural,SWRural,5.545056,9.186693,15.048047,23.546347,1.978014,23.214785,0.734483,1.522189,53.326141,27.449469,80.775612
NorthRural,NorthRural,15290.00098,26956.64844,21708.39258,34382.25781,1021.927429,4184.64502,1071.435181,1656.851563,98337.30469,7934.859375,106272.1641
