ZONE,MODE,TRIPS
131,WALK,31.9183
132,AUTO,16466.75073
132,WALK,3533.19132
133,AUTO,16266.87139
133,WALK,3494.67239
134,AUTO,19549.52743
134,WALK,8442.51959
135,AUTO,8551.4923
136,AUTO,575.84212
136,WALK,280.7415
137,AUTO,1689.5675
137,WALK,511.69208
138,AUTO,18918.20138
138,WALK,2182.14574
139,AUTO,1205.79769
140,AUTO,17104.29552
141,AUTO,17487.39368
141,TNC,97.91104
141,TRANSIT,98.47162
142,AUTO,10634.91667
142,TNC,99.30834
142,WALK,571.62188
143,AUTO,1057.8069
143,WALK,421.01388
144,AUTO,3229.46019
144,WALK,696.78768
145,AUTO,2836.92989
145,WALK,258.57318
146,AUTO,9906.05548
146,WALK,601.99411
147,AUTO,18654.97548
147,WALK,4285.59446
148,AUTO,356.14921
148,TNC,149.74679
148,TRANSIT,356.61321
149,AUTO,7011.27703
149,TRANSIT,2142.79723
151,AUTO,6728.34783
152,AUTO,202.71505
153,AUTO,3236.9491
153,TRANSIT,58.56145
153,WALK,41.4343
154,AUTO,741.70297
155,AUTO,7073.19954
155,BIKE,656.11512
155,WALK,2765.17125
156,AUTO,5663.33855
156,OTHER,115.48657
157,AUTO,4250.91741
157,OTHER,123.97419
157,SHUTTLE_VANPOOL,9.14181
157,TRANSIT,268.96274
158,AUTO,961.89299
158,BIKE,857.69432
158,WALK,972.93262
159,AUTO,361.14519
160,AUTO,2594.38375
161,AUTO,6653.26855
161,WALK,3.72448
162,AUTO,10569.97886
162,WALK,7548.14816
163,AUTO,13954.93664
163,BIKE,656.11512
163,WALK,347.15879
164,AUTO,15981.75693
164,BIKE,1038.7771
164,WALK,2687.85979
165,AUTO,31801.0093
165,WALK,972.93262
166,AUTO,7340.20927999999
167,AUTO,11314.99664
167,WALK,125.7448
168,AUTO,14027.9803
168,OTHER,123.97419
168,WALK,3.72448
169,AUTO,831.47402
169,WALK,325.9498
170,AUTO,9175.65716
171,AUTO,11259.22553
171,WALK,3655.98158
172,AUTO,2822.07785
172,TNC,312.30549
173,AUTO,4188.4127
173,SCHOOL_BUS,3785.84036
174,AUTO,2784.31624
175,AUTO,79.45764
176,AUTO,12077.51126
177,AUTO,50.69381
178,AUTO,689.65287
178,WALK,2035.54762
179,AUTO,2748.16304
179,TRANSIT,88.78122
179,WALK,2353.19864
180,AUTO,6.09454
180,SCHOOL_BUS,1612.5146
180,WALK,53.3299
181,AUTO,11103.69105
181,WALK,2353.19864
182,AUTO,718.54133
183,AUTO,3876.42565
183,WALK,125.27745
184,AUTO,5136.52757
184,BIKE,122.28468
184,TRANSIT,136.39127
184,WALK,612.79116
185,AUTO,5883.15233
185,WALK,136.41864
186,AUTO,1207.46417
186,WALK,3864.74812
187,AUTO,1154.34198
187,TRANSIT,2476.91577
188,AUTO,2373.84727
190,AUTO,151.43288
190,TRANSIT,686.52636
191,AUTO,3113.76254
191,WALK,6215.27604
192,AUTO,1127.10759
193,AUTO,2038.67654
193,TRANSIT,1806.73689
193,WALK,537.92548
194,AUTO,27599.08799
194,WALK,12859.28801
195,AUTO,7533.60898
196,AUTO,8704.19991
196,WALK,893.83632
197,AUTO,1203.52628
197,TRANSIT,207.83093
198,AUTO,2558.60354
198,WALK,4256.29044
199,AUTO,3145.73881
200,AUTO,1292.9836
200,WALK,218.39939
201,AUTO,2954.48457
201,TRANSIT,3522.98145
201,WALK,3864.74812
202,AUTO,5320.89684
202,TRANSIT,6.1588
202,WALK,39.52552
203,AUTO,320.49953
204,AUTO,5091.63737
204,TRANSIT,2425.57298
204,WALK,5675.37618
205,AUTO,248.10569
205,TRANSIT,18.4764
206,AUTO,39.72882
207,AUTO,119.18646
208,AUTO,291.58456
209,AUTO,4438.17189
209,BIKE,2803.54876
209,TRANSIT,1075.85096
210,AUTO,12617.98307
210,WALK,1075.85096
211,AUTO,3419.68841
213,AUTO,3595.43384
213,WALK,9423.68356
214,AUTO,455.05238
215,AUTO,6724.7171
215,TRANSIT,58.56145
216,AUTO,2831.60957
217,AUTO,29487.64347
218,AUTO,13381.64236
219,AUTO,635.50398
219,WALK,9.03296
220,AUTO,4980.61974
221,AUTO,1439.61404
222,AUTO,1673.99212
223,AUTO,3917.86174
224,AUTO,9456.61846
224,WALK,2169.14866
225,AUTO,1422.66154
225,BIKE,80.24395
227,AUTO,79.75199
228,AUTO,620.45872
230,AUTO,333.67639
232,AUTO,5290.37396
233,AUTO,197.80612
234,AUTO,1514.9294
235,AUTO,199.9251
236,AUTO,21577.23502
237,AUTO,12044.93375
238,AUTO,3040.288
238,TNC,97.91104
238,WALK,97.91104
239,AUTO,298.0735
240,AUTO,662.20966
240,WALK,2391.86268
241,AUTO,5984.85873
242,AUTO,3844.03865
242,SCHOOL_BUS,694.01719
242,WALK,177.32399
243,AUTO,37.81655
243,TRANSIT,149.74679
243,WALK,371.85029
244,AUTO,4954.48051
244,WALK,1934.78209
245,AUTO,10043.39612
245,WALK,4278.22488
246,WALK,183.5623
247,AUTO,2427.81996
247,WALK,78.10854
248,AUTO,201.57246
248,WALK,36.56722
249,AUTO,412.10647
249,TRANSIT,18.28361
250,AUTO,2048.18086
251,AUTO,6920.55616
251,TRANSIT,136.39127
252,AUTO,284.27668
253,AUTO,2251.31544
254,AUTO,240.49824
255,AUTO,9733.92464
256,AUTO,1101.94878
257,AUTO,16183.78902
257,WALK,17759.59036
258,AUTO,3316.68666
258,WALK,3833.34624
259,AUTO,13493.25006
260,AUTO,11582.79685
260,WALK,617.38704
261,AUTO,2245.52707
262,AUTO,2563.82871
262,TRANSIT,136.39127
262,WALK,136.39127
263,AUTO,119.60062
264,AUTO,2317.3706
266,AUTO,241.15146
267,AUTO,2961.26768
268,AUTO,1497.61397
269,AUTO,8639.37742
270,AUTO,735.88409
270,TRANSIT,148.41916
271,AUTO,306.83601
271,WALK,2828.44989
272,AUTO,14357.20363
272,WALK,95.79434
273,AUTO,2672.12505
274,AUTO,882.88709
274,WALK,1437.86511
275,AUTO,2754.51091
276,AUTO,1776.85422
276,WALK,40.40718
277,AUTO,281.22934
277,WALK,40.40718
278,AUTO,246.42945
279,AUTO,12239.30757
279,WALK,370.87578
280,AUTO,14370.29602
280,WALK,44.31812
281,AUTO,179.61396
282,AUTO,778.93364
284,AUTO,2481.90595
284,WALK,196.71064
286,AUTO,2596.37826
286,OTHER,150.75817
287,AUTO,1420.1967
288,AUTO,24280.39536
288,TRANSIT,683.64105
288,WALK,1764.66596
289,AUTO,4331.74102
289,TRANSIT,268.96274
289,WALK,1879.40083
290,AUTO,1228.53773
290,BIKE,18.28362
290,WALK,292.61966
291,AUTO,7038.77459
291,SHUTTLE_VANPOOL,39.62105
291,WALK,186.11748
292,AUTO,11612.01223
292,WALK,6.0968
293,AUTO,25545.52192
293,OTHER,48.95552
293,TNC,330.53394
293,WALK,2567.85503
294,AUTO,457.63238
295,AUTO,886.27688
295,WALK,15.47526
296,AUTO,1487.38783
296,TRANSIT,88.78122
297,AUTO,12488.16063
297,OTHER,29.46028
297,TNC,1096.92455
298,AUTO,3262.46527
299,AUTO,17530.71495
299,TRANSIT,24.6352
299,WALK,2671.79017
300,AUTO,10871.8894
300,BIKE,5.22079
300,OTHER,91.85093
300,WALK,287.52949
301,AUTO,2335.43442
301,OTHER,0.9967
301,WALK,2508.8454
302,AUTO,31842.46957
302,OTHER,2.42208
302,SHUTTLE_VANPOOL,1961.87355
302,TRANSIT,999.84867
302,WALK,39721.62877
303,AUTO,4407.74993
303,TRANSIT,1493.41458
304,AUTO,6726.39978
304,TRANSIT,537.92548
304,WALK,537.92548
305,AUTO,478.41027
305,TRANSIT,1010.50978
306,AUTO,5226.72559
307,AUTO,1999.21828
307,SHUTTLE_VANPOOL,72.09348
307,TRANSIT,508.01006
307,WALK,2765.11732
308,AUTO,3660.1539
308,BIKE,5.22079
308,SHUTTLE_VANPOOL,22.75849
308,WALK,938.17132
309,AUTO,11964.02377
309,SHUTTLE_VANPOOL,2.68674
309,TNC,56.16277
309,WALK,8782.56966
310,AUTO,6770.76987
310,TNC,569.08285
310,WALK,2859.99534
311,AUTO,8242.55499
311,BIKE,18.28362
311,WALK,4701.01264
312,AUTO,671.41837
312,WALK,168.6854
313,AUTO,24745.51739
313,BIKE,569.29628
313,BIKE_SHARE,43.77655
313,OTHER,152.51696
313,SHUTTLE_VANPOOL,296.50724
313,WALK,6707.98203
314,AUTO,19298.48602
314,BIKE,434.04612
314,BIKE_SHARE,9.14181
314,OTHER,94.27301
314,SHUTTLE_VANPOOL,257.6794
314,WALK,2204.03312
315,AUTO,9517.41039
315,BIKE,464.07829
315,SHUTTLE_VANPOOL,18.28361
315,WALK,439.88624
316,AUTO,2.42208
316,WALK,88.78122
317,AUTO,5426.00512
317,BIKE,119.23354
317,LONG_DIST_PASS,143.41523
317,TRANSIT,119.23354
317,WALK,7150.69333
318,AUTO,18103.43342
318,BIKE,863.47998
318,WALK,88.78122
319,AUTO,14742.34481
319,WALK,11452.33795
320,AUTO,24110.92711
320,WALK,20906.49295
321,AUTO,9209.13765
322,AUTO,874.88375
322,WALK,60.42564
323,AUTO,17887.64615
323,OTHER,98.47162
323,TNC,101.47136
323,WALK,197.17022
324,AUTO,581.25104
325,AUTO,10891.11733
326,AUTO,22136.13968
326,OTHER,106.94891
326,SHUTTLE_VANPOOL,768.95629
326,WALK,5245.77148
327,AUTO,6.09454
327,WALK,893.83632
328,AUTO,14011.73925
329,AUTO,492.16146
329,OTHER,113.04345
329,TNC,14.07205
329,TRANSIT,34.97682
329,WALK,42.21615
330,AUTO,17615.97026
330,TRANSIT,142.29493
331,AUTO,462.10418
332,AUTO,309.61558
332,WALK,45.45884
333,AUTO,10260.19053
333,WALK,26.70812
334,AUTO,863.31354
334,WALK,22.72942
335,AUTO,4787.22128
335,BIKE,2.30613
335,SCHOOL_BUS,3.39407
335,WALK,4.61226
337,AUTO,746.60146
339,AUTO,137.4781
340,AUTO,1891.73484
341,AUTO,299.48608
342,AUTO,378.23576
343,AUTO,121.22637
344,AUTO,1378.70882
345,AUTO,964.53508
346,AUTO,102.38449
347,AUTO,194.77269
347,BIKE,22.72942
348,AUTO,1188.05956
349,AUTO,158.48067
349,TNC,159.33628
350,AUTO,1411.93262
351,AUTO,3667.70178
351,WALK,1269.7334
352,AUTO,3150.24562
352,WALK,1269.7334
353,AUTO,1857.67333
354,AUTO,7264.58213
354,SCHOOL_BUS,80.97812
354,TRANSIT,806.88822
355,AUTO,531.6299
355,SCHOOL_BUS,18.28361
356,AUTO,1252.1405
358,AUTO,2311.52331
358,OTHER,18.28361
359,AUTO,2513.01086
359,WALK,116.36686
360,AUTO,390.72716
361,AUTO,1854.63615
361,TNC,39.62421
362,AUTO,2447.0668
362,SCHOOL_BUS,161.95624
362,TNC,100.66859
362,WALK,3324.84506
363,AUTO,994.03233
364,AUTO,3060.1135
364,TNC,100.66859
364,WALK,79.24842
365,TNC,118.29026
366,AUTO,4322.90306
366,SCHOOL_BUS,79.05105
366,TRANSIT,18.28361
367,AUTO,26130.32264
367,SCHOOL_BUS,1913.91829
368,AUTO,118.99022
368,SCHOOL_BUS,1994.89641
368,TRANSIT,806.88822
369,AUTO,2424.7565
370,AUTO,2482.12163
371,AUTO,47.05769
371,OTHER,3.36212
371,SHUTTLE_VANPOOL,3880.1262
373,AUTO,559.70025
374,AUTO,307.67536
376,AUTO,277.78953
380,AUTO,123.96268
384,AUTO,8688.01586
385,AUTO,650.20275
386,AUTO,2906.32016
387,AUTO,582.36011
388,AUTO,246.37197
389,AUTO,1342.27007
389,SCHOOL_BUS,28.77408
389,WALK,275.59693
390,AUTO,488.90637
391,AUTO,20.40878
393,AUTO,1952.18039
394,AUTO,26.36138
395,AUTO,347.35571
396,AUTO,27956.77602
396,SHUTTLE_VANPOOL,3880.1262
397,SCHOOL_BUS,28.77408
398,AUTO,117.60041
399,AUTO,9085.43934
399,SHUTTLE_VANPOOL,1940.0631
400,AUTO,419.48941
401,AUTO,3692.00793
401,WALK,115.47525
402,AUTO,3443.47843
403,AUTO,3437.71854
404,AUTO,2833.98219
405,AUTO,9.76576
406,AUTO,131.34107
408,AUTO,158.17738
408,WALK,181.40753
409,AUTO,42.66178
409,TNC,1902.42757
410,AUTO,213.89931
411,AUTO,531.80301
415,AUTO,792.05799
416,AUTO,788.89704
416,WALK,159.90736
417,AUTO,145.93392
418,AUTO,3178.30303
419,AUTO,1297.89106
420,AUTO,7614.12202
421,AUTO,886.98707
422,AUTO,10115.79236
423,AUTO,4917.84952
423,TNC,1902.42757
423,WALK,1597.36782
424,AUTO,29622.42877
424,WALK,305.47636
425,AUTO,24404.45722
425,SHUTTLE_VANPOOL,1940.0631
426,AUTO,163.60046
427,AUTO,674.29137
427,TRANSIT,142.29493
427,WALK,1823.58539
428,AUTO,4128.76954
428,TNC,2336.45467
428,WALK,350.03502
429,AUTO,282.42128
429,BIKE,105.3984
429,WALK,26.70812
430,AUTO,1673.91235
430,TRANSIT,150.43194
430,WALK,98.72257
431,AUTO,438.84353
431,WALK,325.88304
432,AUTO,9298.49238
432,WALK,1823.58539
433,AUTO,1508.73808
433,TNC,1127.12378
433,WALK,2234.48545
434,AUTO,7873.6164
434,OTHER,1169.09168
434,SCHOOL_BUS,180.94228
434,WALK,34.63474
435,AUTO,7196.54048
436,AUTO,4079.33223
436,WALK,2221.84827
437,AUTO,5458.40429
438,AUTO,31542.77651
438,LONG_DIST_PASS,3429.85876
438,SHUTTLE_VANPOOL,171.89474
438,TNC,4731.26549
439,AUTO,173.57573
439,SHUTTLE_VANPOOL,74.71946
440,AUTO,29.29728
441,AUTO,14708.32216
441,SHUTTLE_VANPOOL,9.14181
442,AUTO,22507.27312
443,AUTO,10966.57666
443,BIKE,74.58624
443,TRANSIT,18.4764
443,WALK,1127.67828
444,AUTO,347.39605
445,AUTO,4716.80428
446,AUTO,3959.414
447,AUTO,6547.49007
447,WALK,1342.30294
448,AUTO,9653.54901
448,TRANSIT,12.3176
449,AUTO,5229.8672
450,AUTO,1391.10105
451,AUTO,4800.42365
452,AUTO,8163.6036
452,WALK,6.1588
453,AUTO,5382.89225
454,AUTO,5250.17055
454,TRANSIT,2768.74297
455,AUTO,11643.20214
455,TNC,2886.88115
456,AUTO,7989.02605
456,TRANSIT,174.96754
456,WALK,41.29777
457,AUTO,8891.83966
457,TNC,3302.24403
