PERSON_TYPE,PER,ORIG_PURPOSE,TIME_USE
ALL,1,COMMUTE,230.445929794916
ALL,1,ESCORT,108.890549791667
ALL,1,HOME,8446.25465145832
ALL,1,MEAL,102.313639791667
ALL,1,OTHER,0
ALL,1,SCHOOL,0
ALL,1,SHOP,239.322252708333
ALL,1,SOC AND REC,147.6709525
ALL,1,WORK,121.508933958333
ALL,2,COMMUTE,262.42346683612
ALL,2,ESCORT,109.774876666667
ALL,2,HOME,8456.09334124999
ALL,2,MEAL,83.3672204166667
ALL,2,OTHER,0
ALL,2,SCHOOL,0
ALL,2,SHOP,226.630314166667
ALL,2,SOC AND REC,206.641529375
ALL,2,WORK,213.731199791667
ALL,3,COMMUTE,197.81412891527
ALL,3,ESCORT,106.728589791667
ALL,3,HOME,8439.46497083332
ALL,3,MEAL,84.6769591666667
ALL,3,OTHER,0
ALL,3,SCHOOL,0
ALL,3,SHOP,235.31416
ALL,3,SOC AND REC,166.264719583333
ALL,3,WORK,227.910271041667
ALL,4,COMMUTE,357.719104331127
ALL,4,ESCORT,108.595336666667
ALL,4,HOME,8458.06758416665
ALL,4,MEAL,79.339785
ALL,4,OTHER,0
ALL,4,SCHOOL,0
ALL,4,SHOP,249.895505833333
ALL,4,SOC AND REC,247.455933958333
ALL,4,WORK,305.097070208333
ALL,5,COMMUTE,612.045347964822
ALL,5,ESCORT,188.294671458333
ALL,5,HOME,8458.87478979165
ALL,5,MEAL,104.396142291667
ALL,5,OTHER,0
ALL,5,SCHOOL,0
ALL,5,SHOP,308.30212125
ALL,5,SOC AND REC,236.95124875
ALL,5,WORK,430.991630416667
ALL,6,COMMUTE,1218.01247792725
ALL,6,ESCORT,178.53913625
ALL,6,HOME,8373.79415645832
ALL,6,MEAL,250.682472916667
ALL,6,OTHER,0
ALL,6,SCHOOL,26.326690625
ALL,6,SHOP,318.788211875
ALL,6,SOC AND REC,401.365710625
ALL,6,WORK,945.120691458333
ALL,7,COMMUTE,2058.44439938647
ALL,7,ESCORT,318.82835125
ALL,7,HOME,8522.73181520832
ALL,7,MEAL,251.886835
ALL,7,OTHER,0
ALL,7,SCHOOL,21.0128960416667
ALL,7,SHOP,372.494989375
ALL,7,SOC AND REC,771.800506458334
ALL,7,WORK,1778.789638125
ALL,8,COMMUTE,3314.24559560404
ALL,8,ESCORT,489.199761041667
ALL,8,HOME,8412.03080708333
ALL,8,MEAL,269.952747291667
ALL,8,OTHER,0
ALL,8,SCHOOL,212.158305416667
ALL,8,SHOP,543.685065625
ALL,8,SOC AND REC,779.229684791667
ALL,8,WORK,3042.22453645834
ALL,9,COMMUTE,5612.01857750354
ALL,9,ESCORT,1273.12783270833
ALL,9,HOME,8148.06828687498
ALL,9,MEAL,487.854137083333
ALL,9,OTHER,0
ALL,9,SCHOOL,1530.30610583333
ALL,9,SHOP,915.989100208333
ALL,9,SOC AND REC,927.823033333334
ALL,9,WORK,5227.03298104167
ALL,10,COMMUTE,6597.95839322838
ALL,10,ESCORT,1601.83805416667
ALL,10,HOME,7548.49794895832
ALL,10,MEAL,476.50561625
ALL,10,OTHER,0
ALL,10,SCHOOL,2385.44257375
ALL,10,SHOP,1583.72782125
ALL,10,SOC AND REC,1305.98685416667
ALL,10,WORK,8106.06452874999
ALL,11,COMMUTE,6284.24385186656
ALL,11,ESCORT,1717.36578645833
