ZONE,COUNTY,MODE,TRIPS
90,Hillsborough County,AUTO,15843.8676
91,Hillsborough County,AUTO,14903.03361
91,Hillsborough County,SCHOOL_BUS,1894.74111
91,Hillsborough County,WALK,4250.20345
92,Hillsborough County,AUTO,7109.82684
92,Hillsborough County,WALK,568.39617
93,Hillsborough County,AUTO,32306.11167
94,Hillsborough County,AUTO,33832.88002
94,Hillsborough County,SCHOOL_BUS,79.05105
95,Hillsborough County,AUTO,4536.21389
95,Hillsborough County,WALK,327.06706
96,Hillsborough County,AUTO,6912.81754
96,Hillsborough County,BIKE,85.02834
96,Hillsborough County,TNC,217.94577
97,Hillsborough County,AUTO,7341.02303
97,Hillsborough County,WALK,90.63846
98,Hillsborough County,AUTO,996.31281
99,Hillsborough County,AUTO,26604.1751
99,Hillsborough County,SHUTTLE_VANPOOL,28.66719
99,Hillsborough County,TRANSIT,356.61321
99,Hillsborough County,WALK,365.69447
100,Hillsborough County,AUTO,285.88081
101,Hillsborough County,AUTO,1946.66966
101,Hillsborough County,WALK,1028.19171
102,Hillsborough County,AUTO,9939.64081000001
102,Hillsborough County,OTHER,100.55595
102,Hillsborough County,SCHOOL_BUS,79.05105
102,Hillsborough County,WALK,441.57186
103,Hillsborough County,AUTO,815.39739
103,Hillsborough County,SCHOOL_BUS,1891.48824
103,Hillsborough County,WALK,79.09167
104,Hillsborough County,AUTO,4248.22412
105,Hillsborough County,AUTO,1852.48204
105,Hillsborough County,BIKE,2233.4954
105,Hillsborough County,WALK,1116.7477
106,Hillsborough County,AUTO,31.54544
107,Hillsborough County,AUTO,2196.42794
107,Hillsborough County,WALK,499.68578
108,Hillsborough County,AUTO,14138.98749
108,Hillsborough County,WALK,497.12374
109,Hillsborough County,AUTO,29904.19665
109,Hillsborough County,WALK,2392.17387
110,Hillsborough County,AUTO,15008.47847
110,Hillsborough County,BIKE,46.62268
110,Hillsborough County,OTHER,269.33656
110,Hillsborough County,WALK,102.63883
111,Hillsborough County,AUTO,1806.21941
111,Hillsborough County,WALK,412.94435
112,Hillsborough County,AUTO,5191.43172
112,Hillsborough County,OTHER,154.33716
112,Hillsborough County,WALK,349.33729
113,Hillsborough County,AUTO,14026.27866
113,Hillsborough County,WALK,397.3994
114,Hillsborough County,AUTO,30646.14301
114,Hillsborough County,TNC,732.42639
114,Hillsborough County,WALK,609.47305
115,Hillsborough County,AUTO,797.10628
115,Hillsborough County,SCHOOL_BUS,79.05105
116,Hillsborough County,AUTO,28318.61009
116,Hillsborough County,TNC,98.27294
116,Hillsborough County,WALK,37.30644
117,Hillsborough County,AUTO,8186.69268
117,Hillsborough County,TRANSIT,98.67943
117,Hillsborough County,WALK,394.86306
118,Hillsborough County,AUTO,436.75836
119,Hillsborough County,AUTO,587.52586
120,Hillsborough County,AUTO,26460.19179
120,Hillsborough County,BIKE,2328.06169
120,Hillsborough County,SCHOOL_BUS,3745.39988
120,Hillsborough County,TRANSIT,2328.06169
121,Hillsborough County,AUTO,2490.76903
121,Hillsborough County,WALK,1036.43476
122,Hillsborough County,AUTO,26119.86107
122,Hillsborough County,BIKE,1551.63343
122,Hillsborough County,SCHOOL_BUS,1872.69994
122,Hillsborough County,WALK,1839.88828
123,Hillsborough County,AUTO,45765.61975
123,Hillsborough County,OTHER,269.33656
123,Hillsborough County,TRANSIT,713.22642
123,Hillsborough County,WALK,234.61208
124,Hillsborough County,AUTO,419.08335
124,Hillsborough County,OTHER,538.67312
125,Hillsborough County,AUTO,4215.52989
126,Hillsborough County,AUTO,1118.30679
126,Hillsborough County,TRANSIT,2142.79723
127,Hillsborough County,AUTO,15039.24003
127,Hillsborough County,OTHER,269.33656
127,Hillsborough County,WALK,66.53836
128,Hillsborough County,AUTO,10793.05507
128,Hillsborough County,TRANSIT,3522.98145
128,Hillsborough County,WALK,61.57268
129,Hillsborough County,AUTO,24760.5696
130,Hillsborough County,AUTO,1132.17065
131,Hillsborough County,AUTO,347.44129
131,Hillsborough County,WALK,31.9183
132,Hillsborough County,AUTO,16466.75073
132,Hillsborough County,WALK,3533.19132
133,Hillsborough County,AUTO,16266.87139
133,Hillsborough County,WALK,3494.67239
134,Hillsborough County,AUTO,19549.52743
134,Hillsborough County,WALK,8442.51959
135,Hillsborough County,AUTO,8551.4923
136,Hillsborough County,AUTO,575.84212
136,Hillsborough County,WALK,280.7415
137,Hillsborough County,AUTO,1689.5675
137,Hillsborough County,WALK,511.69208
138,Hillsborough County,AUTO,18918.20138
138,Hillsborough County,WALK,2182.14574
139,Hillsborough County,AUTO,1205.79769
140,Hillsborough County,AUTO,17104.29552
141,Hillsborough County,AUTO,17487.39368
141,Hillsborough County,TNC,97.91104
141,Hillsborough County,TRANSIT,98.47162
142,Hillsborough County,AUTO,10634.91667
142,Hillsborough County,TNC,99.30834
142,Hillsborough County,WALK,571.62188
143,Hillsborough County,AUTO,1057.8069
143,Hillsborough County,WALK,421.01388
144,Hillsborough County,AUTO,3229.46019
144,Hillsborough County,WALK,696.78768
145,Hillsborough County,AUTO,2836.92989
145,Hillsborough County,WALK,258.57318
146,Hillsborough County,AUTO,9906.05548
146,Hillsborough County,WALK,601.99411
147,Hillsborough County,AUTO,18654.97548
147,Hillsborough County,WALK,4285.59446
148,Hillsborough County,AUTO,356.14921
148,Hillsborough County,TNC,149.74679
148,Hillsborough County,TRANSIT,356.61321
149,Hillsborough County,AUTO,7011.27703
149,Hillsborough County,TRANSIT,2142.79723
151,Hillsborough County,AUTO,6728.34783
152,Hillsborough County,AUTO,202.71505
153,Hillsborough County,AUTO,3236.9491
153,Hillsborough County,TRANSIT,58.56145
153,Hillsborough County,WALK,41.4343
154,Hillsborough County,AUTO,741.70297
155,Hillsborough County,AUTO,7073.19954
155,Hillsborough County,BIKE,656.11512
155,Hillsborough County,WALK,2765.17125
156,Hillsborough County,AUTO,5663.33855
156,Hillsborough County,OTHER,115.48657
157,Hillsborough County,AUTO,4250.91741
157,Hillsborough County,OTHER,123.97419
157,Hillsborough County,SHUTTLE_VANPOOL,9.14181
157,Hillsborough County,TRANSIT,268.96274
158,Hillsborough County,AUTO,961.89299
158,Hillsborough County,BIKE,857.69432
158,Hillsborough County,WALK,972.93262
159,Hillsborough County,AUTO,361.14519
160,Hillsborough County,AUTO,2594.38375
161,Hillsborough County,AUTO,6653.26855
161,Hillsborough County,WALK,3.72448
162,Hillsborough County,AUTO,10569.97886
162,Hillsborough County,WALK,7548.14816
163,Hillsborough County,AUTO,13954.93664
163,Hillsborough County,BIKE,656.11512
163,Hillsborough County,WALK,347.15879
164,Hillsborough County,AUTO,15981.75693
164,Hillsborough County,BIKE,1038.7771
164,Hillsborough County,WALK,2687.85979
165,Hillsborough County,AUTO,31801.0093
165,Hillsborough County,WALK,972.93262
166,Hillsborough County,AUTO,7340.20927999999
167,Hillsborough County,AUTO,11314.99664
167,Hillsborough County,WALK,125.7448
168,Hillsborough County,AUTO,14027.9803
168,Hillsborough County,OTHER,123.97419
168,Hillsborough County,WALK,3.72448
169,Hillsborough County,AUTO,831.47402
169,Hillsborough County,WALK,325.9498
170,Hillsborough County,AUTO,9175.65716
171,Hillsborough County,AUTO,11259.22553
171,Hillsborough County,WALK,3655.98158
172,Hillsborough County,AUTO,2822.07785
172,Hillsborough County,TNC,312.30549
173,Hillsborough County,AUTO,4188.4127
173,Hillsborough County,SCHOOL_BUS,3785.84036
174,Hillsborough County,AUTO,2784.31624
175,Hillsborough County,AUTO,79.45764
176,Hillsborough County,AUTO,12077.51126
177,Hillsborough County,AUTO,50.69381
178,Hillsborough County,AUTO,689.65287
178,Hillsborough County,WALK,2035.54762
179,Hillsborough County,AUTO,2748.16304
179,Hillsborough County,TRANSIT,88.78122
179,Hillsborough County,WALK,2353.19864
180,Hillsborough County,AUTO,6.09454
180,Hillsborough County,SCHOOL_BUS,1612.5146
180,Hillsborough County,WALK,53.3299
181,Hillsborough County,AUTO,11103.69105
181,Hillsborough County,WALK,2353.19864
182,Hillsborough County,AUTO,718.54133
183,Hillsborough County,AUTO,3876.42565
183,Hillsborough County,WALK,125.27745
184,Hillsborough County,AUTO,5136.52757
184,Hillsborough County,BIKE,122.28468
184,Hillsborough County,TRANSIT,136.39127
184,Hillsborough County,WALK,612.79116
185,Hillsborough County,AUTO,5883.15233
185,Hillsborough County,WALK,136.41864
186,Hillsborough County,AUTO,1207.46417
186,Hillsborough County,WALK,3864.74812
187,Hillsborough County,AUTO,1154.34198
187,Hillsborough County,TRANSIT,2476.91577
188,Hillsborough County,AUTO,2373.84727
190,Hillsborough County,AUTO,151.43288
190,Hillsborough County,TRANSIT,686.52636
191,Hillsborough County,AUTO,3113.76254
191,Hillsborough County,WALK,6215.27604
192,Hillsborough County,AUTO,1127.10759
193,Hillsborough County,AUTO,2038.67654
193,Hillsborough County,TRANSIT,1806.73689
193,Hillsborough County,WALK,537.92548
194,Hillsborough County,AUTO,27599.08799
194,Hillsborough County,WALK,12859.28801
195,Hillsborough County,AUTO,7533.60898
196,Hillsborough County,AUTO,8704.19991
196,Hillsborough County,WALK,893.83632
197,Hillsborough County,AUTO,1203.52628
197,Hillsborough County,TRANSIT,207.83093
198,Hillsborough County,AUTO,2558.60354
198,Hillsborough County,WALK,4256.29044
199,Hillsborough County,AUTO,3145.73881
200,Hillsborough County,AUTO,1292.9836
200,Hillsborough County,WALK,218.39939
201,Hillsborough County,AUTO,2954.48457
201,Hillsborough County,TRANSIT,3522.98145
201,Hillsborough County,WALK,3864.74812
202,Hillsborough County,AUTO,5320.89684
202,Hillsborough County,TRANSIT,6.1588
202,Hillsborough County,WALK,39.52552
203,Hillsborough County,AUTO,320.49953
204,Hillsborough County,AUTO,5091.63737
204,Hillsborough County,TRANSIT,2425.57298
204,Hillsborough County,WALK,5675.37618
205,Hillsborough County,AUTO,248.10569
205,Hillsborough County,TRANSIT,18.4764
206,Hillsborough County,AUTO,39.72882
207,Hillsborough County,AUTO,119.18646
208,Hillsborough County,AUTO,291.58456
209,Hillsborough County,AUTO,4438.17189
209,Hillsborough County,BIKE,2803.54876
209,Hillsborough County,TRANSIT,1075.85096
210,Hillsborough County,AUTO,12617.98307
