ZONE,COUNTY,MODE,TRIPS
39,Hillsborough County,SHUTTLE_VANPOOL,0
39,Hillsborough County,TNC,0
39,Hillsborough County,TRANSIT,0
39,Hillsborough County,WALK,0
41,Hillsborough County,BIKE,0
41,Hillsborough County,BIKE_SHARE,0
41,Hillsborough County,CAR,94.07851
41,Hillsborough County,CAR_SHARE,0
41,Hillsborough County,LONG_DIST_PASS,0
41,Hillsborough County,MISSING,0
41,Hillsborough County,OTHER,0
41,Hillsborough County,SCHOOL_BUS,0
41,Hillsborough County,SHUTTLE_VANPOOL,0
41,Hillsborough County,TNC,0
41,Hillsborough County,TRANSIT,0
41,Hillsborough County,WALK,0
42,Hillsborough County,BIKE,0
42,Hillsborough County,BIKE_SHARE,0
42,Hillsborough County,CAR,80.06366
42,Hillsborough County,CAR_SHARE,0
42,Hillsborough County,LONG_DIST_PASS,0
42,Hillsborough County,MISSING,0
42,Hillsborough County,OTHER,0
42,Hillsborough County,SCHOOL_BUS,0
42,Hillsborough County,SHUTTLE_VANPOOL,0
42,Hillsborough County,TNC,0
42,Hillsborough County,TRANSIT,0
42,Hillsborough County,WALK,0
44,Hillsborough County,BIKE,0
44,Hillsborough County,BIKE_SHARE,0
44,Hillsborough County,CAR,102.16152
44,Hillsborough County,CAR_SHARE,0
44,Hillsborough County,LONG_DIST_PASS,0
44,Hillsborough County,MISSING,0
44,Hillsborough County,OTHER,0
44,Hillsborough County,SCHOOL_BUS,0
44,Hillsborough County,SHUTTLE_VANPOOL,0
44,Hillsborough County,TNC,0
44,Hillsborough County,TRANSIT,0
44,Hillsborough County,WALK,0
59,Hillsborough County,BIKE,0
59,Hillsborough County,BIKE_SHARE,0
59,Hillsborough County,CAR,1948.23989
59,Hillsborough County,CAR_SHARE,0
59,Hillsborough County,LONG_DIST_PASS,0
59,Hillsborough County,MISSING,0
59,Hillsborough County,OTHER,0
59,Hillsborough County,SCHOOL_BUS,0
59,Hillsborough County,SHUTTLE_VANPOOL,0
59,Hillsborough County,TNC,0
59,Hillsborough County,TRANSIT,0
59,Hillsborough County,WALK,0
60,Hillsborough County,BIKE,0
60,Hillsborough County,BIKE_SHARE,0
60,Hillsborough County,CAR,0
60,Hillsborough County,CAR_SHARE,0
60,Hillsborough County,LONG_DIST_PASS,0
60,Hillsborough County,MISSING,0
60,Hillsborough County,OTHER,0
60,Hillsborough County,SCHOOL_BUS,0
60,Hillsborough County,SHUTTLE_VANPOOL,0
60,Hillsborough County,TNC,0
60,Hillsborough County,TRANSIT,0
60,Hillsborough County,WALK,0
61,Hillsborough County,BIKE,0
61,Hillsborough County,BIKE_SHARE,0
61,Hillsborough County,CAR,0
61,Hillsborough County,CAR_SHARE,0
61,Hillsborough County,LONG_DIST_PASS,0
61,Hillsborough County,MISSING,0
61,Hillsborough County,OTHER,0
61,Hillsborough County,SCHOOL_BUS,0
61,Hillsborough County,SHUTTLE_VANPOOL,0
61,Hillsborough County,TNC,0
61,Hillsborough County,TRANSIT,0
61,Hillsborough County,WALK,0
62,Hillsborough County,BIKE,98.30453
62,Hillsborough County,BIKE_SHARE,0
62,Hillsborough County,CAR,129.24
62,Hillsborough County,CAR_SHARE,0
62,Hillsborough County,LONG_DIST_PASS,0
62,Hillsborough County,MISSING,0
62,Hillsborough County,OTHER,0
62,Hillsborough County,SCHOOL_BUS,0
62,Hillsborough County,SHUTTLE_VANPOOL,0
62,Hillsborough County,TNC,0
62,Hillsborough County,TRANSIT,0
62,Hillsborough County,WALK,0
63,Hillsborough County,BIKE,0
63,Hillsborough County,BIKE_SHARE,0
63,Hillsborough County,CAR,207.64402
63,Hillsborough County,CAR_SHARE,0
63,Hillsborough County,LONG_DIST_PASS,0
63,Hillsborough County,MISSING,0
63,Hillsborough County,OTHER,0
63,Hillsborough County,SCHOOL_BUS,0
63,Hillsborough County,SHUTTLE_VANPOOL,0
63,Hillsborough County,TNC,0
63,Hillsborough County,TRANSIT,0
63,Hillsborough County,WALK,0
64,Hillsborough County,BIKE,0
64,Hillsborough County,BIKE_SHARE,0
64,Hillsborough County,CAR,0
64,Hillsborough County,CAR_SHARE,0
64,Hillsborough County,LONG_DIST_PASS,0
64,Hillsborough County,MISSING,0
64,Hillsborough County,OTHER,0
64,Hillsborough County,SCHOOL_BUS,0
64,Hillsborough County,SHUTTLE_VANPOOL,0
64,Hillsborough County,TNC,0
64,Hillsborough County,TRANSIT,0
64,Hillsborough County,WALK,196.60906
65,Hillsborough County,BIKE,0
65,Hillsborough County,BIKE_SHARE,0
65,Hillsborough County,CAR,0
65,Hillsborough County,CAR_SHARE,0
65,Hillsborough County,LONG_DIST_PASS,0
65,Hillsborough County,MISSING,0
