FROM,TO,TRIPS
Hernando  Citrus,,0
Hernando  Citrus,Clearwater Dwntwn,0
Hernando  Citrus,Clearwater Mall,0
Hernando  Citrus,Countryside Mall,0
Hernando  Citrus,Dwntwn USF Albert Whitted Airport,0
Hernando  Citrus,Gateway Area,0
Hernando  Citrus,Grand Central Area,0
Hernando  Citrus,Hernando  Citrus,0
Hernando  Citrus,Hillsborough,0
Hernando  Citrus,Manatee Spur,0
Hernando  Citrus,Mid-Cnty Ind Area,40.24512
Hernando  Citrus,Oldsmar Ind Area,0
Hernando  Citrus,Pasco,0
Hernando  Citrus,Pinellas Beaches,0
Hernando  Citrus,Pinellas Central,674.36063
Hernando  Citrus,Pinellas North,66.19385
Hernando  Citrus,Pinellas North Central,1194.08463
Hernando  Citrus,Pinellas South,1275.97518
Hernando  Citrus,St Petersburg Clearwater Area,0
Hernando  Citrus,Tarpon Springs Area,0
Hernando  Citrus,Tyrone Square Area,0
Hillsborough,,0
Hillsborough,Clearwater Dwntwn,727.84808
Hillsborough,Clearwater Mall,579.88932
Hillsborough,Countryside Mall,0
Hillsborough,Dwntwn USF Albert Whitted Airport,10976.78551
Hillsborough,Gateway Area,10749.21049
Hillsborough,Grand Central Area,888.63573
Hillsborough,Hernando  Citrus,0
Hillsborough,Hillsborough,0
Hillsborough,Manatee Spur,0
Hillsborough,Mid-Cnty Ind Area,7046.2287
Hillsborough,Oldsmar Ind Area,27094.36044
Hillsborough,Pasco,0
Hillsborough,Pinellas Beaches,11443.21093
Hillsborough,Pinellas Central,31635.94452
Hillsborough,Pinellas North,22485.14298
Hillsborough,Pinellas North Central,63081.19559
Hillsborough,Pinellas South,35925.75493
Hillsborough,St Petersburg Clearwater Area,191.29275
Hillsborough,Tarpon Springs Area,0
Hillsborough,Tyrone Square Area,156.42089
Manatee Spur,,0
Manatee Spur,Clearwater Dwntwn,0
Manatee Spur,Clearwater Mall,0
Manatee Spur,Countryside Mall,0
Manatee Spur,Dwntwn USF Albert Whitted Airport,0
Manatee Spur,Gateway Area,0
Manatee Spur,Grand Central Area,0
Manatee Spur,Hernando  Citrus,0
Manatee Spur,Hillsborough,0
Manatee Spur,Manatee Spur,0
Manatee Spur,Mid-Cnty Ind Area,0
Manatee Spur,Oldsmar Ind Area,0
Manatee Spur,Pasco,0
Manatee Spur,Pinellas Beaches,0
Manatee Spur,Pinellas Central,0
Manatee Spur,Pinellas North,0
Manatee Spur,Pinellas North Central,0
Manatee Spur,Pinellas South,0
Manatee Spur,St Petersburg Clearwater Area,0
Manatee Spur,Tarpon Springs Area,0
Manatee Spur,Tyrone Square Area,0
Mid-Cnty Ind Area,,0
Mid-Cnty Ind Area,Clearwater Dwntwn,192.28313
Mid-Cnty Ind Area,Clearwater Mall,537.45107
Mid-Cnty Ind Area,Countryside Mall,0
Mid-Cnty Ind Area,Dwntwn USF Albert Whitted Airport,5788.24055
Mid-Cnty Ind Area,Gateway Area,3542.90755
Mid-Cnty Ind Area,Grand Central Area,0
Mid-Cnty Ind Area,Hernando  Citrus,40.24512
Mid-Cnty Ind Area,Hillsborough,7671.2761
Mid-Cnty Ind Area,Manatee Spur,0
Mid-Cnty Ind Area,Mid-Cnty Ind Area,10074.59703
Mid-Cnty Ind Area,Oldsmar Ind Area,0
Mid-Cnty Ind Area,Pasco,2022.42701
Mid-Cnty Ind Area,Pinellas Beaches,346.7361
Mid-Cnty Ind Area,Pinellas Central,34550.62359
Mid-Cnty Ind Area,Pinellas North,2478.86576
Mid-Cnty Ind Area,Pinellas North Central,11377.07825
Mid-Cnty Ind Area,Pinellas South,20965.29492
Mid-Cnty Ind Area,St Petersburg Clearwater Area,5.62148
Mid-Cnty Ind Area,Tarpon Springs Area,0
Mid-Cnty Ind Area,Tyrone Square Area,0
Oldsmar Ind Area,,0
Oldsmar Ind Area,Clearwater Dwntwn,0
Oldsmar Ind Area,Clearwater Mall,0
Oldsmar Ind Area,Countryside Mall,0
Oldsmar Ind Area,Dwntwn USF Albert Whitted Airport,0
Oldsmar Ind Area,Gateway Area,0
Oldsmar Ind Area,Grand Central Area,0
Oldsmar Ind Area,Hernando  Citrus,98.3691
Oldsmar Ind Area,Hillsborough,19666.70595
Oldsmar Ind Area,Manatee Spur,0
Oldsmar Ind Area,Mid-Cnty Ind Area,0
Oldsmar Ind Area,Oldsmar Ind Area,3333.85911
Oldsmar Ind Area,Pasco,8620.18869
Oldsmar Ind Area,Pinellas Beaches,0
Oldsmar Ind Area,Pinellas Central,142.26536
Oldsmar Ind Area,Pinellas North,4383.6448
Oldsmar Ind Area,Pinellas North Central,10631.29993
Oldsmar Ind Area,Pinellas South,0
Oldsmar Ind Area,St Petersburg Clearwater Area,0
Oldsmar Ind Area,Tarpon Springs Area,0
Oldsmar Ind Area,Tyrone Square Area,0
Pasco,,0
Pasco,Clearwater Dwntwn,569.03561
Pasco,Clearwater Mall,141.42344
Pasco,Countryside Mall,98.27294
Pasco,Dwntwn USF Albert Whitted Airport,0
Pasco,Gateway Area,149.7468
Pasco,Grand Central Area,0
Pasco,Hernando  Citrus,0
Pasco,Hillsborough,0
Pasco,Manatee Spur,0
Pasco,Mid-Cnty Ind Area,2552.13984
Pasco,Oldsmar Ind Area,6714.59449
Pasco,Pasco,0
Pasco,Pinellas Beaches,4043.71357
Pasco,Pinellas Central,1094.86042
Pasco,Pinellas North,46884.05625
Pasco,Pinellas North Central,42342.69956
Pasco,Pinellas South,1331.84342
Pasco,St Petersburg Clearwater Area,0
Pasco,Tarpon Springs Area,20.83524
Pasco,Tyrone Square Area,0
Pinellas Beaches,,0
Pinellas Beaches,Clearwater Dwntwn,780.13207
Pinellas Beaches,Clearwater Mall,0
Pinellas Beaches,Countryside Mall,0
Pinellas Beaches,Dwntwn USF Albert Whitted Airport,2331.19006
Pinellas Beaches,Gateway Area,0
Pinellas Beaches,Grand Central Area,39.74852
Pinellas Beaches,Hernando  Citrus,0
Pinellas Beaches,Hillsborough,10269.84427
Pinellas Beaches,Manatee Spur,546.63962
Pinellas Beaches,Mid-Cnty Ind Area,1658.73917
Pinellas Beaches,Oldsmar Ind Area,0
Pinellas Beaches,Pasco,2349.04482
Pinellas Beaches,Pinellas Beaches,22513.2002
Pinellas Beaches,Pinellas Central,13595.76234
Pinellas Beaches,Pinellas North,43.12364
Pinellas Beaches,Pinellas North Central,4348.48866
Pinellas Beaches,Pinellas South,20838.54123
Pinellas Beaches,St Petersburg Clearwater Area,0
Pinellas Beaches,Tarpon Springs Area,18.28361
Pinellas Beaches,Tyrone Square Area,495.76472
Pinellas Central,,0
Pinellas Central,Clearwater Dwntwn,3722.87478
Pinellas Central,Clearwater Mall,2605.44034
Pinellas Central,Countryside Mall,0
Pinellas Central,Dwntwn USF Albert Whitted Airport,5911.93513
Pinellas Central,Gateway Area,12963.73503
Pinellas Central,Grand Central Area,0
Pinellas Central,Hernando  Citrus,79.11249
Pinellas Central,Hillsborough,30516.87298
Pinellas Central,Manatee Spur,0
Pinellas Central,Mid-Cnty Ind Area,43358.30813
Pinellas Central,Oldsmar Ind Area,142.26536
Pinellas Central,Pasco,824.71427
Pinellas Central,Pinellas Beaches,21646.33139
Pinellas Central,Pinellas Central,496662.85316
Pinellas Central,Pinellas North,6246.60762
Pinellas Central,Pinellas North Central,74081.41107
Pinellas Central,Pinellas South,53284.6592
Pinellas Central,St Petersburg Clearwater Area,809.64541
Pinellas Central,Tarpon Springs Area,0
Pinellas Central,Tyrone Square Area,2046.64262
Pinellas North,,0
Pinellas North,Clearwater Dwntwn,772.38304
Pinellas North,Clearwater Mall,149.95343
Pinellas North,Countryside Mall,251.70312
Pinellas North,Dwntwn USF Albert Whitted Airport,360.05797
Pinellas North,Gateway Area,893.49573
Pinellas North,Grand Central Area,0
Pinellas North,Hernando  Citrus,159.67064
Pinellas North,Hillsborough,20683.48507
Pinellas North,Manatee Spur,0
Pinellas North,Mid-Cnty Ind Area,3602.14183
Pinellas North,Oldsmar Ind Area,9865.24013
Pinellas North,Pasco,41507.53705
Pinellas North,Pinellas Beaches,881.38215
Pinellas North,Pinellas Central,9178.4946
Pinellas North,Pinellas North,244458.47431
Pinellas North,Pinellas North Central,79240.88976
Pinellas North,Pinellas South,2848.79707
Pinellas North,St Petersburg Clearwater Area,4661.99748
Pinellas North,Tarpon Springs Area,727.0245
Pinellas North,Tyrone Square Area,0
Pinellas North Central,,0
Pinellas North Central,Clearwater Dwntwn,24436.99893
Pinellas North Central,Clearwater Mall,14287.99513
Pinellas North Central,Countryside Mall,9216.85154
Pinellas North Central,Dwntwn USF Albert Whitted Airport,17417.16758
Pinellas North Central,Gateway Area,3173.17283
Pinellas North Central,Grand Central Area,0
Pinellas North Central,Hernando  Citrus,819.80234
Pinellas North Central,Hillsborough,70453.89677
Pinellas North Central,Manatee Spur,0
Pinellas North Central,Mid-Cnty Ind Area,12794.84806
Pinellas North Central,Oldsmar Ind Area,7904.51368
Pinellas North Central,Pasco,23757.27459
Pinellas North Central,Pinellas Beaches,4119.41713
Pinellas North Central,Pinellas Central,82983.59898
Pinellas North Central,Pinellas North,74213.65407
Pinellas North Central,Pinellas North Central,764130.02048
Pinellas North Central,Pinellas South,32051.85677
Pinellas North Central,St Petersburg Clearwater Area,6.33345
Pinellas North Central,Tarpon Springs Area,19017.16844
Pinellas North Central,Tyrone Square Area,536.95298
Pinellas South,,0
Pinellas South,Clearwater Dwntwn,1659.29998
Pinellas South,Clearwater Mall,26.41161
Pinellas South,Countryside Mall,330.62108
Pinellas South,Dwntwn USF Albert Whitted Airport,52360.5653
Pinellas South,Gateway Area,33551.28924
Pinellas South,Grand Central Area,7289.33407
Pinellas South,Hernando  Citrus,902.79766
Pinellas South,Hillsborough,41324.86403
Pinellas South,Manatee Spur,0
Pinellas South,Mid-Cnty Ind Area,22593.98548
Pinellas South,Oldsmar Ind Area,0
Pinellas South,Pasco,1047.6639
Pinellas South,Pinellas Beaches,16553.74423
Pinellas South,Pinellas Central,65955.00449
Pinellas South,Pinellas North,2749.97208
Pinellas South,Pinellas North Central,31023.92773
Pinellas South,Pinellas South,598379.043789999
Pinellas South,St Petersburg Clearwater Area,301.90531
Pinellas South,Tarpon Springs Area,0
Pinellas South,Tyrone Square Area,33919.9064
St Petersburg Clearwater Area,,0
St Petersburg Clearwater Area,Clearwater Dwntwn,0
St Petersburg Clearwater Area,Clearwater Mall,0
St Petersburg Clearwater Area,Countryside Mall,0
St Petersburg Clearwater Area,Dwntwn USF Albert Whitted Airport,0
St Petersburg Clearwater Area,Gateway Area,0
St Petersburg Clearwater Area,Grand Central Area,0
St Petersburg Clearwater Area,Hernando  Citrus,0
St Petersburg Clearwater Area,Hillsborough,226.12365
St Petersburg Clearwater Area,Manatee Spur,0
St Petersburg Clearwater Area,Mid-Cnty Ind Area,0
St Petersburg Clearwater Area,Oldsmar Ind Area,0
