ZONE,COUNTY,MODE,TRIPS
15,Hillsborough County,SHUTTLE_VANPOOL,0
15,Hillsborough County,TAXI_NOT_TNC,0
15,Hillsborough County,TNC,0
15,Hillsborough County,TRANSIT,0
15,Hillsborough County,WALK,0
16,Hillsborough County,BIKE,0
16,Hillsborough County,BIKE_SHARE,0
16,Hillsborough County,CAR,48.78149
16,Hillsborough County,CAR_SHARE,0
16,Hillsborough County,LONG_DIST_PASS,0
16,Hillsborough County,MISSING,0
16,Hillsborough County,OTHER,0
16,Hillsborough County,SCHOOL_BUS,0
16,Hillsborough County,SHUTTLE_VANPOOL,0
16,Hillsborough County,TAXI_NOT_TNC,0
16,Hillsborough County,TNC,0
16,Hillsborough County,TRANSIT,0
16,Hillsborough County,WALK,0
17,Hillsborough County,BIKE,0
17,Hillsborough County,BIKE_SHARE,0
17,Hillsborough County,CAR,0
17,Hillsborough County,CAR_SHARE,0
17,Hillsborough County,LONG_DIST_PASS,0
17,Hillsborough County,MISSING,0
17,Hillsborough County,OTHER,0
17,Hillsborough County,SCHOOL_BUS,0
17,Hillsborough County,SHUTTLE_VANPOOL,0
17,Hillsborough County,TAXI_NOT_TNC,0
17,Hillsborough County,TNC,0
17,Hillsborough County,TRANSIT,0
17,Hillsborough County,WALK,0
18,Hillsborough County,BIKE,0
18,Hillsborough County,BIKE_SHARE,0
18,Hillsborough County,CAR,0
18,Hillsborough County,CAR_SHARE,0
18,Hillsborough County,LONG_DIST_PASS,0
18,Hillsborough County,MISSING,0
18,Hillsborough County,OTHER,0
18,Hillsborough County,SCHOOL_BUS,0
18,Hillsborough County,SHUTTLE_VANPOOL,0
18,Hillsborough County,TAXI_NOT_TNC,0
18,Hillsborough County,TNC,0
18,Hillsborough County,TRANSIT,0
18,Hillsborough County,WALK,0
19,Hillsborough County,BIKE,0
19,Hillsborough County,BIKE_SHARE,0
19,Hillsborough County,CAR,1007.56736
19,Hillsborough County,CAR_SHARE,0
19,Hillsborough County,LONG_DIST_PASS,0
19,Hillsborough County,MISSING,0
19,Hillsborough County,OTHER,0
19,Hillsborough County,SCHOOL_BUS,0
19,Hillsborough County,SHUTTLE_VANPOOL,0
19,Hillsborough County,TAXI_NOT_TNC,0
19,Hillsborough County,TNC,0
19,Hillsborough County,TRANSIT,0
19,Hillsborough County,WALK,0
20,Hillsborough County,BIKE,0
20,Hillsborough County,BIKE_SHARE,0
20,Hillsborough County,CAR,0
20,Hillsborough County,CAR_SHARE,0
20,Hillsborough County,LONG_DIST_PASS,0
20,Hillsborough County,MISSING,0
20,Hillsborough County,OTHER,0
20,Hillsborough County,SCHOOL_BUS,0
20,Hillsborough County,SHUTTLE_VANPOOL,0
