FROM,TO,TRIPS
Harney Corridor / Tampa Ex Airpor,USF / Hospitals / Busch Gardens,12.66879
Westshore / Rocky Point,USF / Hospitals / Busch Gardens,244.81467
Southwest Hillsborough,USF / Hospitals / Busch Gardens,15315.45882
Downtown,USF / Hospitals / Busch Gardens,2115.24
East Town,USF / Hospitals / Busch Gardens,506.92396
Southeast Hillsborough,USF / Hospitals / Busch Gardens,9174.2534
Pinellas,USF / Hospitals / Busch Gardens,20810.8332
Pasco,USF / Hospitals / Busch Gardens,9121.89256
External,USF / Hospitals / Busch Gardens,148.15938
Northeast Hillsborough,USF / Hospitals / Busch Gardens,20474.78257
Tampa Intl Airport / Anderson Rd,USF / Hospitals / Busch Gardens,2657.44284
West Brandon S Falkenburg Corrido,USF / Hospitals / Busch Gardens,359.62036
MacDill AFB / Port Tampa,USF / Hospitals / Busch Gardens,0
Hernando & Citrus,USF / Hospitals / Busch Gardens,4178.01956
Port of Tampa / 50th St Corridor,Tampa Central,524.69986
CZ1,USF / Hospitals / Busch Gardens,152.16574
CZ4,USF / Hospitals / Busch Gardens,2277.0071
MacDill AFB / Port Tampa,Tampa Central,279.79809
CZ3,Tampa Central,1035.37015
Northeast Hillsborough,Harney Corridor / Tampa Ex Airpor,4211.59225
Tampa Central,Harney Corridor / Tampa Ex Airpor,3704.94143
USF / Hospitals / Busch Gardens,Harney Corridor / Tampa Ex Airpor,1599.93504
Harney Corridor / Tampa Ex Airpor,Harney Corridor / Tampa Ex Airpor,4977.56734
Downtown,Harney Corridor / Tampa Ex Airpor,1377.57904
Southeast Hillsborough,Harney Corridor / Tampa Ex Airpor,4706.97604
CZ4,Harney Corridor / Tampa Ex Airpor,139.3082
Hidden River / Telecom Park,Harney Corridor / Tampa Ex Airpor,772.36374
East Town,Harney Corridor / Tampa Ex Airpor,18.59597
Citrus Park,USF / Hospitals / Busch Gardens,0
CZ2,USF / Hospitals / Busch Gardens,0
CZ3,USF / Hospitals / Busch Gardens,0
Northwest Hillsborough,Hidden River / Telecom Park,2143.27424
Tampa Central,Hidden River / Telecom Park,3618.79357
Northeast Hillsborough,Hidden River / Telecom Park,1234.34597
USF / Hospitals / Busch Gardens,Hidden River / Telecom Park,2290.3652
Hidden River / Telecom Park,Hidden River / Telecom Park,8319.79352
Downtown,Hidden River / Telecom Park,0
East Town,Hidden River / Telecom Park,8.05653
CZ3,Hidden River / Telecom Park,41.16366
CZ4,Hidden River / Telecom Park,539.17098
Pinellas,Hidden River / Telecom Park,811.90265
Pasco,Hidden River / Telecom Park,6198.6486
Hernando & Citrus,Hidden River / Telecom Park,0
MacDill AFB / Port Tampa,Hidden River / Telecom Park,0
Southeast Hillsborough,Hidden River / Telecom Park,141.17265
External,Hidden River / Telecom Park,0
Tampa Intl Airport / Anderson Rd,Hidden River / Telecom Park,98.47162
Westshore / Rocky Point,Hidden River / Telecom Park,1899.73728
Southwest Hillsborough,Hidden River / Telecom Park,194.64841
West Brandon S Falkenburg Corrido,Hidden River / Telecom Park,0
CZ2,Hidden River / Telecom Park,930.13812
Harney Corridor / Tampa Ex Airpor,Hidden River / Telecom Park,540.77443
Plant City Area,Tampa Central,4468.5097
External,Harney Corridor / Tampa Ex Airpor,0
Tampa Intl Airport / Anderson Rd,Harney Corridor / Tampa Ex Airpor,0
Westshore / Rocky Point,Harney Corridor / Tampa Ex Airpor,252.15548
West Brandon S Falkenburg Corrido,Harney Corridor / Tampa Ex Airpor,1245.79837
Pasco,Harney Corridor / Tampa Ex Airpor,159.60534
Northwest Hillsborough,Harney Corridor / Tampa Ex Airpor,1533.19306
CZ2,Harney Corridor / Tampa Ex Airpor,47.16231
